page,topic,chapter,anchor,action,detail,source,rendered
21,Observer internal models; projection versus consensus,33,when-your-own-view-becomes-the-default,Retained,"Private reactions, population estimates, and checks are distinguished. Unattributed aphorism not duplicated.",chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
22,Illusion of transparency,33,when-intention-feels-visible,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
23,Tapping study and silent-video inference exercise,33,separate-observation-from-interpretation,Added,Study in main text; both demonstrations in Practice Lab. Thesis verifies 50% prediction versus 3/120 identification.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
24,Email/voice tone calibration,33,communication-is-coordination-and-repair,Retained,"Existing study, figure, and confidence/accuracy comparison.",chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
25,"Nonverbal cues, mental states, and deception",33,lie-detection,Retained,Preserved recent relocation of lie-detection evidence from Chapter 38.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
26,Stereotypes versus individual evidence,33,meaning-is-inferred-tested-and-repaired,Added,Communication example plus Chapter 29 link.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
27,Fine: multiple interpretations of a terse message,33,meaning-is-inferred-tested-and-repaired,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
28,Recoverability and repair invitations,33,communication-is-coordination-and-repair,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
29,Part 3 divider,,,Navigation,,,
30,"Diagnosing practical, emotional, or identity needs",34,diagnose-the-conversation-before-answering-it,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
31,Nail video: mismatch between advice and recognition,34,diagnose-the-conversation-before-answering-it,Retained,Existing working video link and predict/watch/rewrite activity.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
32,Three kinds of conversation,34,diagnose-the-conversation-before-answering-it,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
33,"Shared reality, validation, confidence, common experiences",34,validation-creates-understanding-expansion-creates-growth,Expanded,"Music, humor, ritual, work, challenge, and distinction from matching biographies or objective truth.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
34,Partner-centered attention and benefit of doubt,34,put-the-partner-at-the-center-of-attention,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
35,Perspective-taking versus perspective-getting,33,ask-rather-than-merely-imagine,Retained,,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
36,Evidence that asking improves accuracy,33,ask-rather-than-merely-imagine,Retained,Existing Eyal et al. 25-experiment discussion; graphic not duplicated.,chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
37,Iterative verified understanding,34,replace-mind-reading-with-verified-understanding,Expanded,"Worked incorrect paraphrase, correction, revised account.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
38,Questions invite information and responsiveness,34,diagnose-the-conversation-before-answering-it,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
39,Follow-up questions demonstrate uptake,34,make-listening-visible,Expanded,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
40,"Sensitive questions, interest, consent, misprediction",34,diagnose-the-conversation-before-answering-it,Expanded,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
41,"Boomerasking, gotcha, repeated, agenda-laden questions",34,test-the-social-forecast,Retained,Existing four-row comparison retained.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
42,Attention fluctuates; listening must become visible,34,make-listening-visible,Added,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
43,"Six moves: paraphrase, follow-up, acknowledge, callback, good news, repair attention",34,make-listening-visible,Added,Complete six-move table with new examples.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
44,Backchannels and real-time coordination,33,communication-is-coordination-and-repair,Added,"Clark grounding source; timing, fit, and difference from substantive agreement.",chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
45,Ambiguous listening cues versus evidence of processing,34,make-listening-visible,Expanded,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
46,Repeated diagnostic signals of validation,34,validation-creates-understanding-expansion-creates-growth,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
47,Validation and self-expansion,34,validation-creates-understanding-expansion-creates-growth,Expanded,Added actual self-expansion definition and Aron et al. (2000) shared-novelty evidence; retained 1997 disclosure study for closeness.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
48,Interbrain coupling,33,speaker-listener-neural-coupling,Added,"Recorded speaker/listener design, lag/anticipation, comprehension, shared language, and limits.",chapters/33-communication-language-is-not-a-file-transfer.qmd,docs/chapters/33-communication-language-is-not-a-file-transfer.html
49,Depth as meaning rather than forced intimacy,34,find-depth-in-an-ordinary-opening,Expanded,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
50,Five-level question ladder,34,diagnose-the-conversation-before-answering-it,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
51,Shallow openings to deeper follow-ups,34,find-depth-in-an-ordinary-opening,Expanded,Consolidated examples by topic rather than repeating several near-identical question lists.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
52,"Values, identity, gratitude, joy, regret, future goals",34,find-depth-in-an-ordinary-opening,Expanded,All thematic categories represented in question bank and labs.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
53,Teacher interview: follow an answer into personally meaningful material,34,find-depth-in-an-ordinary-opening,Adapted,Explicitly fictional interview illustrates the move and privacy boundary; unverified biographical claims about a real teacher omitted.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
54,Deep conversations are better than forecast,34,diagnose-the-conversation-before-answering-it,Expanded,"Grounded in published Kardas et al. (2022), without reproducing chart attributed only to Epley (2026).",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
55,Desired conversation depth exceeds typical depth,34,diagnose-the-conversation-before-answering-it,Added,"Verified in Kardas et al. (2022), including Experiments 6a/6b. No exact bar values reconstructed.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
56,Low-pressure prompts for strangers,34,find-depth-in-an-ordinary-opening,Expanded,"Joy, learning, interests, skill/enjoyment mismatch, celebration, and relationships covered. Omitted itslearning navigation.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
57,"Lab 2: natural conversation, deeper follow-ups, verification",34,lab-2-practice-depth-and-responsiveness-14-minutes,Added,"Preserved two 7-minute turns, with 3-minute natural and 4-minute deeper rounds.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
58,"Lab 2: debrief depth, uptake, boundaries, ratings",34,lab-2-practice-depth-and-responsiveness-14-minutes,Added,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
59,Part 4 divider,,,Navigation,,,
60,"Appreciation, compliments, warmth, wording, awkwardness",34,express-appreciation-and-receive-help,Expanded,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
61,Five moves in asking for and receiving help,34,express-appreciation-and-receive-help,Expanded,"Request, why this person, safe refusal, receiving, and impact follow-through.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
62,Responsive emotional support versus co-rumination,34,support-without-trapping-attention,Retained,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
63,"Nice silence, white lies, brutal honesty, warm honesty",34,truth-vulnerability-and-feedback,Expanded,Added four-way comparison.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
64,"Care, observation, owned impact, inquiry, request",34,cross-the-net-carefully,Expanded,Worked five-move opening and concrete boundary.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
65,"Intent, observable behavior, impact, and response cycle",34,conflict-is-a-cycle-across-three-realities,Expanded,Dedicated section and three-realities table; existing cycle figure retained with clarified caption.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
66,Stay on your side of the net during conflict,34,cross-the-net-carefully,Expanded,"Explicit title, epistemic boundary, paired state/ask examples, disguised motive claims, actor/recipient symmetry. Old anchor preserved.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
67,"Constructive disagreement, civility, and unexpectedly positive discussion",34,constructive-disagreement,Expanded,Moral reframing/personal experience retained; forecast evidence traced to Wald et al. (2024).,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
68,"Pinch, story, avoidance, crunch, and early repair",34,address-the-pinch-before-it-becomes-a-crunch,Expanded,"Worked escalation sequence, early question, unsafe-setting alternatives.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
69,"Apology: harm, responsibility, remorse, repair/change",34,apology-and-repair,Retained,Existing worked apology answers all four diagnostic questions.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
70,Weak versus strong apology,34,apology-and-repair,Retained,"Conditional apology contrasted with specific harm, responsibility, correction, and prevention.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
71,Defensive colleague case,34,chapter-34-start,Retained,"Existing fictional case connects listening, false accusation, repair, and workflow redesign.",chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
72,"Lab 3: three roles, rotations, voluntary agreement",34,lab-3-warm-honesty-and-repair-15-minutes,Expanded,Preserved 15-minute three-role exercise; clarified artifacts and freedom to stop.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
73,Observer scorecard,34,lab-3-warm-honesty-and-repair-15-minutes,Added,Four observable moves; exact phrase and unsupported motive claim recording.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
74,"Lab 3: exact phrases, net crossing, power, revision",34,lab-3-warm-honesty-and-repair-15-minutes,Added,,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
75,"Synthesis: meaning, verification, connection, repair",34,connection-as-decision-infrastructure,Retained,Distributed through core idea and closing synthesis rather than duplicated slide bullets.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
76,Final synthesis line,34,take-it-forward,Retained,Closing application preserves the message without another summary slogan.,chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd,docs/chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.html
77,Lecture reference list,,,Reference apparatus,Relevant claims cite works in chapter and master bibliographies. Unused bibliography entries are not imported as if cited.,,
78,Lecture reference list,,,Reference apparatus,Relevant claims cite works in chapter and master bibliographies. Unused bibliography entries are not imported as if cited.,,
79,Lecture reference list,,,Reference apparatus,Relevant claims cite works in chapter and master bibliographies. Unused bibliography entries are not imported as if cited.,,
80,Lecture reference list,,,Reference apparatus,Relevant claims cite works in chapter and master bibliographies. Unused bibliography entries are not imported as if cited.,,
81,Lecture reference list,,,Reference apparatus,Relevant claims cite works in chapter and master bibliographies. Unused bibliography entries are not imported as if cited.,,
