source,kind,substantive_slides,chapter,section,discussion_check,action,boundary,source_file,source_line
Gollwitzer (1999),theoretical and empirical synthesis,27;28;33;35;54,39,implementation-intentions,**Implementation intentions** connect,existing,Plan links cue and response; does not guarantee success,chapters/39-behavior-design-make-the-better-action-easier.qmd,97
Hagger et al. (2016),preregistered multilab replication,18;49,39,willpower-and-the-habit-loop,Large preregistered tests have challenged,existing,"Evidence against the tested depletion effect, not absence of all effort costs; see Appendix E",chapters/39-behavior-design-make-the-better-action-easier.qmd,49
Hamid et al. (2016),rat measurement and causal manipulation,48,21,research-delay-progress-effort,Experimentally changing dopamine signaling altered,added,Task engagement differs from pleasure or making effort intrinsically valuable,chapters/21-habits-wanting-and-self-control.qmd,244
Hollerman & Schultz (1998),monkey reward-timing experiment,13;42,21,dopamine-anticipation-and-effort,Panel D adds an unexpected delay,existing,Unexpected delay differs from a known longer wait,chapters/21-habits-wanting-and-self-control.qmd,223
Howe et al. (2013),rat navigation and dopamine recording,48,21,research-delay-progress-effort,a longer run did not simply produce a higher peak,added,"Proximity and reward value, not elapsed work alone",chapters/21-habits-wanting-and-self-control.qmd,242
Johnson & Goldstein (2003),default experiments and policy comparisons,52,40,set-the-starting-point-defaults-and-active-choice,default wording changed stated organ-donation consent,existing; new bridge from 39,Stated consent differs from completed donations and country comparisons are not randomized,chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,108
Kidd et al. (2013),experiment on environmental reliability,49,20,scarcity-and-trust-when-now-is-rational,experimentally varied whether an adult,existing; new cross-link from 39,Immediate context changes waiting; not a pure character measure,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,183
Kobayashi & Schultz (2008),monkey reward-delay experiment,48,21,research-delay-progress-effort,Responses to the predictive cues declined,added,"Cue response, known delay, and preference are distinguished from unexpected lateness",chapters/21-habits-wanting-and-self-control.qmd,240
Lally et al. (2010),longitudinal habit-formation study,10;37,21,a-learning-curve-not-a-deadline,18 to 254,existing,Modeled time to plateau varies; one miss does not erase learning,chapters/21-habits-wanting-and-self-control.qmd,69
Madrian & Shea (2001),retirement-plan policy comparison,52,40,set-the-starting-point-defaults-and-active-choice,Automatic enrollment substantially increased,existing; new bridge from 39,One plan; not a randomized estimate of all default mechanisms,chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,108
Michie et al. (2011),framework development,26;50,39,com-b-research-lens,COM-B asks whether,existing,"Diagnosis includes capability and structural opportunity, not motivation alone",chapters/39-behavior-design-make-the-better-action-easier.qmd,250
Milkman et al. (2011),randomized vaccination reminder trial,45,39,implementation-intentions,Vaccination rates were 33.1%,expanded,Raw difference 4.0 pp differs from adjusted 4.2 pp; campaign outcome not habit,chapters/39-behavior-design-make-the-better-action-easier.qmd,101
Milkman et al. (2014),randomized temptation-bundling trial,51,39,friction-rewards-and-commitment,gym visits were 51% higher,expanded,Relative visit differences; gains weakened after disruption,chapters/39-behavior-design-make-the-better-action-easier.qmd,111
Mohebi et al. (2019),rat dopamine release and firing study,48,21,research-delay-progress-effort,motivation-related changes in local dopamine release,expanded,Local release and recorded cell firing are different measurements,chapters/21-habits-wanting-and-self-control.qmd,246
Neal et al. (2011),two eating experiments,8;9,21,the-popcorn-people-kept-eating,The context comparison used a separate group,expanded,Location and activity differed; habit measured; freshness and eating hand manipulated,chapters/21-habits-wanting-and-self-control.qmd,83
Schultz (2016),scientific review,12;13;14;41;42;43;47,21,dopamine-anticipation-and-effort,This **reward prediction error** signals,added citation supporting existing discussion,Review not a separate experimental sample,chapters/21-habits-wanting-and-self-control.qmd,123
Schultz et al. (1997),neural evidence and computational account,12;13;41;42;47,21,dopamine-anticipation-and-effort,A small response to an expected reward,existing,Little change at delivery is not absence of dopamine or pleasure,chapters/21-habits-wanting-and-self-control.qmd,221
Shen et al. (2015),human reward-pursuit experiments,14;43,21,research-animal-variable-rewards,**The human comparison also has a boundary.**,existing from preceding revision; new comparison in 39,Reward-size uncertainty; pursuit focus matters; dopamine not measured,chapters/21-habits-wanting-and-self-control.qmd,262
Shen et al. (2019),four laboratory and field experiments,15,39,design-an-attention-boundary,In four experiments with real consequences,expanded,Experienced activity and immediate resolution; repetition not automaticity,chapters/39-behavior-design-make-the-better-action-easier.qmd,127
Verplanken & Roy (2016),field intervention around relocation,53,39,research-fresh-start-and-context,among 800 participants,added,Moving not randomized; self-reported outcomes; no universal change window,chapters/39-behavior-design-make-the-better-action-easier.qmd,282
Vohs et al. (2021),preregistered multisite replication,18,39,willpower-and-the-habit-loop,"36-laboratory study with 3,531 participants",existing,Near-zero planned effect; mechanism not established by fatigue alone,chapters/39-behavior-design-make-the-better-action-easier.qmd,49
Wang et al. (2021),MCII meta-analysis,27;28;35,39,research-woop-evidence,"15,907 participants",expanded,"Heterogeneity, different controls and publication bias qualify average effect",chapters/39-behavior-design-make-the-better-action-easier.qmd,270
Watts et al. (2018),longitudinal conceptual replication,49,20,scarcity-and-trust-when-now-is-rational,That association shrank by about two thirds,existing; new cross-link from 39,Adjusted association is not the causal effect of teaching patience,chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,185
Wood & Neal (2007),theoretical review,6;7,21,following-a-goal-or-following-a-cue,"Wood & Neal, 2007",existing,Habit and goal-directed action may coexist,chapters/21-habits-wanting-and-self-control.qmd,45
Wood & Rünger (2016),scientific review,6;7;10;11;15,21,what-is-a-habit,"Wood & Rünger, 2016",existing,"Frequency, automaticity, and outcome insensitivity differ",chapters/21-habits-wanting-and-self-control.qmd,63
Zhang (2026),this book and teaching applications,2;33;34;35;36;37;38;39;44;46;54;55;56,39,one-primary-workflow,The return arrow in @fig-behavior-design,existing,"Examples, studio and workflow are applications, not separate empirical studies",chapters/39-behavior-design-make-the-better-action-easier.qmd,56
Stroop (1935),interference experiments; implicit lecture source,17,8,slow-thinking-is-powerful-expensive-and-often-late,The Stroop task makes that conflict visible,existing; new cross-link from 39,Interference demonstration does not identify a depletable resource,chapters/08-fast-and-frugal-thinking.qmd,100
