slide,hidden,title,sources,disposition
27,False,WOOP: turn a wish into a plan,Gollwitzer (1999); Wang et al. (2021),Substantive study/framework/application mapped in source-coverage.csv
28,False,WOOP applied: stopping the scroll,Gollwitzer (1999); Wang et al. (2021),Substantive study/framework/application mapped in source-coverage.csv
29,False,Familiar cues can trigger learned responses.,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
30,False,References 1 of 3,,Bibliography; all 39 listed sources accounted for in source-coverage.csv
31,False,References 2 of 3,,Bibliography; all 39 listed sources accounted for in source-coverage.csv
32,False,References 3 of 3,,Bibliography; all 39 listed sources accounted for in source-coverage.csv
33,True,A chosen response at a reliable cue,Fogg (2020); Gollwitzer (1999); Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
34,True,Prepare the bedtime setting,Duckworth et al. (2016); Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
35,True,Pair task: apply the ideas to paper writing,Fogg (2020); Gollwitzer (1999); Wang et al. (2021); Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
36,True,Does the design address the obstacle?,Bailey et al. (2010); Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
37,True,Test the design and plan how to recover,Lally et al. (2010); Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
38,True,Four ideas for changing a routine,Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
39,True,"Exit question: explain, then redesign",Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
40,True,A,,"Cover, objectives, roadmap, section divider or synthesis; no additional study beyond mapped material"
41,True,Dopamine contributes to learning and wanting,Berridge & Robinson (1998); Schultz (2016); Schultz et al. (1997),Substantive study/framework/application mapped in source-coverage.csv
42,True,A  An unexpected reward produces a burst.,Hollerman & Schultz (1998); Schultz (2016); Schultz et al. (1997),Substantive study/framework/application mapped in source-coverage.csv
43,True,The blue dashed curve rises while waiting.,Fiorillo et al. (2003); Schultz (2016); Shen et al. (2015),Substantive study/framework/application mapped in source-coverage.csv
44,True,Five steps connect explanation to action,Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
45,True,A concrete plan can improve follow-through,Milkman et al. (2011),Substantive study/framework/application mapped in source-coverage.csv
46,True,Whose goal does the design serve?,Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
47,True,Prediction error updates an expectation,Schultz (2016); Schultz et al. (1997),Substantive study/framework/application mapped in source-coverage.csv
48,True,Effort toward a distant reward,Hamid et al. (2016); Howe et al. (2013); Kobayashi & Schultz (2008); Mohebi et al. (2019),Substantive study/framework/application mapped in source-coverage.csv
49,True,Self-control depends on the situation,Hagger et al. (2016); Kidd et al. (2013); Watts et al. (2018),Substantive study/framework/application mapped in source-coverage.csv
50,True,COM-B broadens the diagnosis,Michie et al. (2011),Substantive study/framework/application mapped in source-coverage.csv
51,True,Temptation bundling changes the immediate payoff,Milkman et al. (2014),Substantive study/framework/application mapped in source-coverage.csv
52,True,Defaults and friction change different margins,Allcott & Rogers (2014); Johnson & Goldstein (2003); Madrian & Shea (2001),Substantive study/framework/application mapped in source-coverage.csv
53,True,Fresh starts need practical support,Dai et al. (2014); Verplanken & Roy (2016),Substantive study/framework/application mapped in source-coverage.csv
54,True,A defensive reply is also a design problem,Duckworth et al. (2016); Gollwitzer (1999); Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
55,True,Extended studio for a longer class,Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
56,True,Optional clips: give each one a question,Zhang (2026),Substantive study/framework/application mapped in source-coverage.csv
