source,physical_slides,topic,book_files,status,assessment,action
SDU-current/BE05. Heuristics & Biases.pptx,4-12,"Heuristics, substitution, affect, availability and ease of retrieval",chapters/08-fast-and-frugal-thinking.qmd; chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,covered,"Chapter9 develops the panda/sea-star contrast, availability and retrieval ease with separate mechanisms; Chapter8 covers adaptive fit.",Retain existing treatment.
SDU-current/BE05. Heuristics & Biases.pptx,14-19,"Confirmation, Barnum/Forer effect",chapters/10-beliefs-that-defend-themselves.qmd,covered,"Chapter10 describes selective testing, generic personal descriptions and rival contributors to apparent accuracy; this differs from expectations changing outcomes in5.",Retain existing treatment.
SDU-current/BE05. Heuristics & Biases.pptx,"20-23,61","Three forms of overconfidence, planning fallacy and outside view",chapters/15-samples-randomness-regression-and-calibration.qmd; chapters/41-decision-hygiene-build-a-process-that-can-learn.qmd,covered,All three forms are defined at the same conceptual level; planning fallacy is an application. The lecture megaproject 0.5% headline need not replace the published planning-fallacy evidence already used.,Retain existing treatment.
SDU-current/BE05. Heuristics & Biases.pptx,24-32,"Anchoring, coherent arbitrariness, halo/horns and order effects",chapters/11-when-context-rewrites-comparison.qmd,covered,Chapter11 has random-anchor procedure and estimates plus context comparisons. Personal/classroom elicitation examples are not treated as fresh published experiments.,Retain existing treatment.
SDU-current/BE05. Heuristics & Biases.pptx,"34-38,59-60","Framing, presupposition and misinformation",chapters/12-framing-when-the-same-facts-become-different-decisions.qmd; chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd; chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,covered,"Equivalent descriptions, question assumptions and memory distortion are distinguished; Asian-disease choice proportions and Loftus-Palmer results substantiate claims.",Retain existing treatment.
SDU-current/BE05. Heuristics & Biases.pptx,39-45,"Priming, affective context, exposure and familiarity",chapters/13-accessibility-familiarity-and-ease.qmd; appendices/appendix-f-when-evidence-breaks.qmd,covered,Semantic priming and repeated familiarity are developed; broad social/behavioral priming is not generalized from demonstrations. Unpublished in-class happy/sad results are not population estimates.,Retain existing treatment.
SDU-current/BE05. Heuristics & Biases.pptx,"47-50,54-58","CRT, Stroop, reflection and process redesign",chapters/08-fast-and-frugal-thinking.qmd; chapters/41-decision-hygiene-build-a-process-that-can-learn.qmd,covered,Tasks have interpretive limits; redesign exercise matches a failure to a safeguard rather than claiming deliberation always corrects it.,Retain existing treatment.
SDU-current/BE06. Habits and Behavior Design.pptx,6-10,"Goal-directed/habitual control, CIAO, popcorn, automaticity trajectory",chapters/21-habits-wanting-and-self-control.qmd,covered,"Chapter21 develops cue-response learning, outcome sensitivity and context; Lally range is time to95% of modeled plateau, not a fixed habit deadline.",Retain existing treatment.
SDU-current/BE06. Habits and Behavior Design.pptx,"11-15,56-58,61-62","Wanting/liking, dopamine learning, surprise, habituation, uncertainty, effort",chapters/21-habits-wanting-and-self-control.qmd; chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd,covered,"Current text distinguishes neuronal firing from release/pleasure, prediction errors from habituation, cue prediction from habitual control, and uncertainty signals from attraction to all uncertainty.",Retain existing treatment.
SDU-current/BE06. Habits and Behavior Design.pptx,"17-24,63","Stroop, access-dependent craving, cigarette/water, BRAIN and lapse response",chapters/08-fast-and-frugal-thinking.qmd; chapters/21-habits-wanting-and-self-control.qmd; chapters/39-behavior-design-make-the-better-action-easier.qmd,covered,"Book contains flight and laboratory studies, their different designs, and a practical noticing sequence. Perceived opportunity is not equated with visual presence of cigarettes.",Retain existing treatment.
SDU-current/BE06. Habits and Behavior Design.pptx,"26-34,41-43,52-54","Willpower, B=MAP, Tiny Habits, friction, ability, prompts, celebration, changed context",chapters/39-behavior-design-make-the-better-action-easier.qmd,covered,B=MAP is identified as a diagnostic framework; celebration guidance is distinguished from direct dopamine evidence; fresh-start and relocation findings carry design limitations.,Retain existing treatment.
SDU-current/BE06. Habits and Behavior Design.pptx,"35-37,44,46-48",Choice architecture/nudge distinction; cafeteria placement,chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,missing study -> revised,General distinction and welfare/avoidance conditions are covered. The Thorndike cafeteria evidence in slide36 was absent and is now incorporated with purchase-share denominators and study-design limits.,"Added one study paragraph in the existing action-feasibility section: sequential label/placement phases, beverage-purchase share contrast3.4vs0.3percentage points, nonrandomized/sales boundary. No new diagram."
SDU-current/BE06. Habits and Behavior Design.pptx,"39-40,45,59","WOOP, mental contrasting, implementation intentions, vaccination planning",chapters/39-behavior-design-make-the-better-action-easier.qmd; chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,covered,WOOP components are operationalized and connected to goal-attainment meta-analysis; Milkman vaccination field experiment already provides the planning result.,Retain existing treatment.
SDU-current/BE06. Habits and Behavior Design.pptx,"60,64-67","Whose goals, COM-B, temptation bundling, defensive interaction, evaluation",chapters/39-behavior-design-make-the-better-action-easier.qmd; chapters/40-choice-architecture-the-environment-gets-a-vote.qmd,covered,COM-B stays in a lens; desire/ability/opportunity diagnosis and support are not equated to one validated package. Intervention and actual outcome are distinguished.,Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,5-13,Strategic interdependence and Keynesian beauty contest,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd; chapters/27-markets-mispricing-and-bubbles.qmd,covered,Chapter23 fully explains anticipation of others and market guesses; Chapter27 develops price feedback with empirical studies and alternative explanations.,Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,14-19,Meeting task and focal points,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd; chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,covered,"Relatable concert opening and focal-point reasoning replace arbitrary city-specific rewards. Chapter24 distinguishes focality, shared knowledge and payoff dominance.",Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,"20-31,97","Guessing game, level-k, cognitive hierarchy and neural evidence",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd; chapters/27-markets-mispricing-and-bubbles.qmd,covered,Chapter23 works through iterative reasoning and distinguishes level-k from population-mixture beliefs. Neural correlates are not used to label fixed intellectual types.,Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,35-43,"Players, strategies, payoffs, best responses, dominance and equilibrium; identity game exercise",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd; chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd; chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,covered,"Basic concepts introduced in23, matrices developed in24/25 as requested; equilibrium is a conditional model claim, not a finding that people always optimize.",Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,47-71,"Prisoner dilemma, third-party rules, repeated games, TFT, reputation, Golden Balls",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd; chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,covered,"Chapter25 has explicit incentive logic, noisy reciprocity, public goods/social preferences and stake/time boundaries; game-show evidence is not interchangeable with controlled random assignment.",Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,73-96,"Coordination, conventions/QWERTY, stag hunt, risk/payoff dominance, chicken, volunteer dilemma, battle of sexes and commitment",chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd,covered,"All main coordination problems are developed, including mixed interests and credible commitment; illustrative standards history does not prove efficiency or inevitability.",Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,"98-102,163-172","Price war/price guarantees, auctions and escalation",chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd; chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd; chapters/36-preparing-and-claiming-value.qmd,covered,Strategic commitments and dollar-auction escalation are covered; conditional market effects matter. No need to repeat payoff analysis in the new social-influence chapter.,Retain existing treatment.
SDU-current/BE07. Strategic Interdependence.pptx,"103-155,156-162,173-175",Repeated appendix material and history/game demonstrations,chapters/23-strategic-interdependence-the-best-move-depends-on-other-minds.qmd; chapters/24-behavioral-game-theory-equilibrium-is-a-benchmark-not-a-portrait.qmd; chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,duplicate / visual limit,Large trailing sections repeat earlier concepts; not independent missing curriculum. Final low-text payoff matrices still require visual inspection for exact cells.,"Consolidate concepts, preserve exercise examples only when they contribute an additional distinction."
SDU-current/BE08. Behavioral Finance.pptx,5-18,"Market efficiency, FOMC/news, September11, Challenger and event-study logic",chapters/27-markets-mispricing-and-bubbles.qmd,covered,"Chapter27 already develops surprise versus announcement, unfolding information, relative-price inference and joint-test issues with named studies.",Retain existing treatment.
SDU-current/BE08. Behavioral Finance.pptx,19-31,"Postearnings drift, size/value, momentum/reversal, benchmarks and costs",chapters/27-markets-mispricing-and-bubbles.qmd,covered,"The chapter presents numerical historical comparisons, difference between raw and abnormal returns, risk-model alternatives and implementability.",Retain existing treatment.
SDU-current/BE08. Behavioral Finance.pptx,"47-54,59-68,70-86","Technical/fundamental analysis, CAPM/factors, arithmetic/geometric returns, CUBA, triangular arbitrage, Palm/3Com",chapters/27-markets-mispricing-and-bubbles.qmd; chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,covered,These examples and formal relations are substantially developed in27; mental accounting/myopic loss aversion belongs in19. Historical return pictures are not forecasting guarantees.,Retain existing treatment.
SDU-current/BE08. Behavioral Finance.pptx,"36-41,69",In-class fish/asset experiment and archived payment rules,chapters/27-markets-mispricing-and-bubbles.qmd; appendices/appendix-e-how-behavioral-evidence-is-built.qmd,administrative / unpublished empirical output,"Experimental-market interpretation belongs in27/methods. Session interface instructions, payment rules and unreported student data are not publication evidence.",Exclude logistics and unverified class estimates; retain the public experimental concepts.
SDU-current/BE09. Asset Bubbles.pptx,"5-8,46,51","Assets, payouts, constant-growth valuation and finite-horizon benchmark",chapters/27-markets-mispricing-and-bubbles.qmd,covered,"The chapter works expected dividends and discounted values, separating risk-neutral expected payoff from guaranteed value.",Retain existing treatment.
SDU-current/BE09. Asset Bubbles.pptx,"10-20,42-45,53-54,60-61","Resale feedback, historical bubbles, housing, excess volatility and flash crashes",chapters/27-markets-mispricing-and-bubbles.qmd,covered,Historical claims are qualified; bubbles/crashes/systemic crises are differentiated. Crash alone is not proof of prior irrational price.,Retain existing treatment.
SDU-current/BE09. Asset Bubbles.pptx,"23-32,55","Laboratory markets,304traders, overlapping generations, flat fundamentals, liquidity and credit",chapters/27-markets-mispricing-and-bubbles.qmd,covered,Current chapter distinguishes design variants and supports liquidity/experience claims with studies. Unpublished classroom plot on28 remains an illustration only.,Retain existing treatment.
SDU-current/BE09. Asset Bubbles.pptx,"33-38,49-50,56-59","Expectations, gender composition, strategy heterogeneity, lottery assets and limits to arbitrage",chapters/27-markets-mispricing-and-bubbles.qmd,covered,Current chapter reports heterogeneous/conditional gender results and model-dependent trader classifications instead of inferring types directly from aggregate prices.,Retain existing treatment.
SDU-current/How to Write Your Term Paper.pptx,"5-18,47-48","Focused literature review, question tests, pilot search, stakes and ABT motivation",appendices/appendix-literature-review.qmd; chapters/32-building-an-evidence-aligned-message.qmd,covered,"Appendix uses positive-expectations example, explicitly motivating a tension and a researchable question; ABT is a writing tool, not a proven persuasion law.",Retain existing treatment.
SDU-current/How to Write Your Term Paper.pptx,19-35,"Theory, search strategy, transparent selection, evidence matrix, synthesis and disagreement",appendices/appendix-literature-review.qmd; appendices/appendix-e-how-behavioral-evidence-is-built.qmd,covered,"Appendix requires study comparisons, design limits and calibrated conclusions; links from the review gap to the research-design appendix.",Retain existing treatment.
SDU-current/How to Write Your Term Paper.pptx,36-45,"Traceable claims, APA citation, paraphrase, reference matching and workflow",appendices/appendix-literature-review.qmd; appendices/appendix-f-when-evidence-breaks.qmd,covered,Published sources retained instead of citing unpublished lecture slides; course-specific requirements and deadlines are excluded from evergreen book content.,Retain existing treatment.
"AAU-legacy/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx","2-16,18-30,32-50,55-80","Representativeness/dilution, gambler/hot hand, regression, superstition, probability/Bayes/Monty Hall",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd; chapters/11-when-context-rewrites-comparison.qmd; chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd; chapters/15-samples-randomness-regression-and-calibration.qmd,covered,Mechanisms and worked probabilities are present; sports rituals and Skinner pigeon account are explicitly distinguished from demonstrated causal control.,Retain existing treatment.
"AAU-legacy/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx","5-44,51-56","EV/EU, certainty equivalents, insurance, risk elicitation, Allais and Ellsberg",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd; chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd; appendices/appendix-a-rational-choice-and-decision-analysis.qmd,covered,"Formal benchmarks, examples, elicitation table and model/measurement limits are developed, including bomb task and multiple-price lists.",Retain existing treatment.
"AAU-legacy/04 - Risk, Probability and Prospect Theory/10. Prospect Theory.pptx","4-32,43-56","Reference dependence, loss aversion, diminishing sensitivity, weighting, endowment/IKEA/status quo and narrow framing",chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd; chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd,covered,Main constructs have conventional definitions and numerical demonstrations; model parameters are not universal constants. Competing mechanisms and task limits remain explicit.,Retain existing treatment.
"AAU-legacy/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx","3-47,49-60,70-91","Discounting, time consistency, magnitude/sign/date effects, future self, anticipation, scarcity, measurement, commitment, profile preferences",chapters/19-intertemporal-decision-making-why-later-loses-to-now.qmd; chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd; chapters/39-behavior-design-make-the-better-action-easier.qmd,covered,Current Chapter20 (historical filename19) covers mechanisms and formal models; experience/well-being/profile effects are in22. Correlational language/savings material remains observational.,Retain existing treatment.
AAU-legacy/BE2026/BE12. Mental Acounting.pptx,2-52,"Transaction utility, budgeting, sunk costs, payment coupling, house-money/break-even/disposition, bracketing, diversification, hedonic editing",chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd; chapters/17-prospect-theory-gains-and-losses-begin-at-a-reference-point.qmd; chapters/27-markets-mispricing-and-bubbles.qmd,covered,Current Chapter19 (historical filename20) explains four operations and the major applications. Repeated historical stock-return charts are not additional mechanisms.,Retain existing treatment.
AAU-legacy/05 - Strategic and Social Decisions/13. Social Preferences.pptx,3-20,"Ultimatum/dictator comparison, social preference identification, inequity/efficiency, cultures and primates",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd,covered,"Chapter25 develops designs and alternative interpretations; fair offers and rejections do not identify one motive, nor do animal refusals by themselves establish human-like fairness.",Retain existing treatment.
AAU-legacy/05 - Strategic and Social Decisions/13. Social Norms.pptx,4-18,"Altruistic punishment, norms/preferences, give/take/exit variants and norm elicitation",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd; chapters/26-social-norms-and-conformity-when-other-people-become-evidence.qmd,thin -> revised,Neural punishment and elicitation are covered. Giving/taking/exit evidence was generic and has been enriched with concrete List/Lazear results.,Updated existing Ch25 paragraph and alphabetized two published references; no new section.
AAU-legacy/05 - Strategic and Social Decisions/13. Social Norms.pptx,20-25,"Minimal groups, ingroup favoritism, identity and belief elicitation",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd; chapters/29-culture-and-identity-the-same-action-is-not-the-same-act.qmd,covered,"Minimal categorization, Chen-Li, cooperation and common identity are developed. Specific sex-comparison examples do not justify universal gender rules; unpublished classroom plots are not separate evidence.",Retain existing treatment.
AAU-legacy/05 - Strategic and Social Decisions/21. Evolutionary Game Theory.pptx,2-53,"Population dynamics, ESS/Nash, stag hunt/hawk dove, spatial PD, ethnocentrism and segregation",chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd; appendices/appendix-b-evolutionary-explanations-of-value-choice-and-rationality.qmd,covered,AppendixB contains population provenance and ESS/dynamic distinctions;25 develops positive assortment and ethnocentrism as a specified model. Simulations are not direct observations of human motive.,Retain existing treatment.
AAU-legacy/05 - Strategic and Social Decisions/22. Evolution of Cooperation.pptx,2-8,Nowak cooperation mechanisms and positive assortment,chapters/25-cooperation-and-social-preferences-self-interest-is-not-the-only-payoff.qmd; appendices/appendix-b-evolutionary-explanations-of-value-choice-and-rationality.qmd,covered,Five mechanisms are compared with model conditions; theory is not treated as an empirical law applicable independent of the update process.,Retain existing treatment.
AAU-legacy/07 - Decision from Experience and Operations/23. Decision from Experience.pptx,3-25,"Description-experience gap, lifetime investing, rare events, stopping, recency and learning models",chapters/18-decisions-from-experience-when-rare-events-are-not-encountered.qmd,covered,"Chapter18 has explanations and behavioral/field evidence, including tourists/residents and investment histories. It rejects a universal description-overweights/experience-underweights rule.",Retain existing treatment.
AAU-legacy/09 - Additional Topics/Existing Additional Topics/Newsvendor Experiment.pptx,2-18,"Pull-to-center ordering, risk/ambiguity measures, CRT and overconfidence elicitation",chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd; chapters/08-fast-and-frugal-thinking.qmd; chapters/15-samples-randomness-regression-and-calibration.qmd,covered,"The newsvendor rule and observed bias are developed;16 compares elicitation methods. Raven/CRT class-score plots are task demonstrations, not validated effects of one general ability.",Retain existing treatment.
AAU-legacy/09 - Additional Topics/20. Happiness.pptx,"3-4,42-59","Affective forecasting, myopic loss aversion, profile evaluation and competition",chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd; chapters/20-mental-accounting-money-is-fungible-minds-label-it.qmd; chapters/27-markets-mispricing-and-bubbles.qmd,covered,Well-being chapter distinguishes predicted/experienced/remembered evaluation. Much of this deck repeats finance and mental-accounting material already mapped.,Retain existing treatment.
AAU-legacy/08 - Research Methods/17. Conduct Research in Behavioral Economics.pptx,"3-50,53-94","Experiment types, incentives, sampling/assignment, internal/external validity, reactivity, power, ethics and replication",appendices/appendix-e-how-behavioral-evidence-is-built.qmd; appendices/appendix-f-when-evidence-breaks.qmd,covered,Methods appendix develops design and causal threats; evidence appendix qualifies disputed demonstrations. Institutional forms/deadlines are not evergreen content.,Retain existing treatment.
AAU-legacy/08 - Research Methods/25. Threats in Running Experiments.pptx,4-47,"Attrition, compliance/ITT/LATE, spillover/displacement, reactivity and reporting bias",appendices/appendix-e-how-behavioral-evidence-is-built.qmd; appendices/appendix-f-when-evidence-breaks.qmd,covered,"Design-specific estimands and threats are explained; attrition percentage alone cannot establish bias, and exclusions/participant sorting must not silently change estimands.",Retain existing treatment.
AAU-legacy/BE2026/BE11. Choice Architecture.pptx,2-19,"Defaults, menus, metrics, salience, health labels and position",chapters/40-choice-architecture-the-environment-gets-a-vote.qmd; chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,covered,"Defaults, mapping, MPG conversion and salience are covered substantively. Historical diagrams and commercial layouts illustrate ideas rather than add validated principles.",Retain existing treatment.
AAU-legacy/01 - Foundations and Neuroscience/Active Inference  -  Repaired.pptx,1-20,"Predictive coding, active inference and evidence updates",chapters/04-the-predictive-mind-perception-is-inference.qmd; chapters/06-valuation-how-options-become-worth-choosing.qmd; appendices/appendix-b-evolutionary-explanations-of-value-choice-and-rationality.qmd,covered,The predictive-processing/active-inference material is retained as a bounded explanatory model; it is not claimed to have displaced all competing accounts.,Retain existing treatment.
AAU-legacy/09 - Additional Topics/Mind Magic.pptx,7-41,"Brain networks, visualization, self/social value, happiness and manifestation claims",chapters/03-attention-what-becomes-evidence.qmd; chapters/04-the-predictive-mind-perception-is-inference.qmd; chapters/05-expectations-when-predictions-become-causes.qmd; chapters/06-valuation-how-options-become-worth-choosing.qmd; chapters/22-deciding-for-a-better-life-satisfaction-connection-and-meaning.qmd; appendices/appendix-b-evolutionary-explanations-of-value-choice-and-rationality.qmd,partly covered / unsupported claims excluded,Scientifically tractable network/expectation/attention ideas have homes. Claims that stress lets SNS hijack DMN or thoughts manifest external outcomes are not established mechanisms.,Do not import manifestation or transgenerational epigenetic certainty; retain testable psychological pathways and source-specific limits.
AAU-legacy/09 - Additional Topics/Existing Additional Topics/x. Additional Topics.pptx,"3-19,22-24,27","Lie detection, information elicitation, deadlines, third-party process and humor",chapters/33-communication-language-is-not-a-file-transfer.qmd; chapters/34-connection-and-repair-warm-honesty-makes-truth-usable.qmd; chapters/36-preparing-and-claiming-value.qmd; chapters/38-designing-better-agreements.qmd,covered at topic level / DPN detailed audit,"Communication/negotiation destinations cover core distinctions. DPN audit owns detailed source-by-source verification; demeanor, jokes and film scenes are not diagnostic guarantees.",Defer exact DPN study coverage to companion audit rather than duplicate review.
