slide,hidden,destination,handling
61,True,Investing when neither prices nor forecasts are infallible,"Duplicate technical-analysis slides consolidated; long-horizon compounding retained without Buffett wealth chart, which mixes savings, ownership and returns."
62,True,Investing when neither prices nor forecasts are infallible,"Duplicate technical-analysis slides consolidated; long-horizon compounding retained without Buffett wealth chart, which mixes savings, ownership and returns."
63,True,Practice Lab,Raffle/log-in logistics omitted; classroom-market debrief retained.
64,True,Limits to arbitrage,Triangular arbitrage example integrated with executable quotes and costs.
65,True,Investing when neither prices nor forecasts are infallible,Investor biases and forecast uncertainty retained; quote collages omitted.
66,True,Investing when neither prices nor forecasts are infallible,Investor biases and forecast uncertainty retained; quote collages omitted.
67,True,Investing when neither prices nor forecasts are infallible,Investor biases and forecast uncertainty retained; quote collages omitted.
68,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
69,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
70,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
71,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
72,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
73,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
74,True,"Size, value, momentum, and reversal; Investing when neither prices nor forecasts are infallible","Dividend yield, joint size/value sorting, and historical equity-premium/long-horizon cautions integrated; repetitive tables consolidated."
75,True,Limits to arbitrage,Existing Palm/3Com case preserved with conditional distribution and short-sale constraints.
76,True,Limits to arbitrage,Existing Palm/3Com case preserved with conditional distribution and short-sale constraints.
77,True,Limits to arbitrage,Existing Palm/3Com case preserved with conditional distribution and short-sale constraints.
78,True,Limits to arbitrage,Existing Palm/3Com case preserved with conditional distribution and short-sale constraints.
79,True,What gives an asset fundamental value?,"Existing P/E, CAPE, Shiller evidence and historical peaks preserved."
80,True,What gives an asset fundamental value?,"Existing P/E, CAPE, Shiller evidence and historical peaks preserved."
