occurrence_id,deck,slide_number,hidden_slide,object_id,object_name,sha256,duplicate_group,role,provenance,rights_status,treatment,destination,status,notes
DPN01. Decision Process:s19:o2,DPN01. Decision Process.pptx,19,False,17418,Picture 3,969e083838339d18b34ace55e7277425dc271e7dbaf8aa8ec266456a43fe0278,sha256:969e083838339d18,duplicate,exact embedded-asset duplicate of DPN01 slide 19 occurrence o1,protected,duplicate-accounted,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-1-an-arrow-that-redirects-attention,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 19 occurrence o1. Raw asset ppt/media/image10.png, 1448×1086 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s20:o1,DPN01. Decision Process.pptx,20,False,17417,Picture 3,09e794feea16fe96ae61a0333a3e19dc317665f8ea0e5ed99cbab3308e90d353,sha256:09e794feea16fe96,substantive,third-party study stimulus or result graphic; no license metadata,protected,represented-in-text-or-activity,appendices/appendix-d-when-evidence-breaks.qmd#a-concrete-update-watched-eyes-and-the-honesty-box,complete,"Eye-image stimulus and study-result plot are represented by a cited cumulative-evidence explanation with boundary conditions. Raw asset ppt/media/image11.png, 333×898 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s20:o2,DPN01. Decision Process.pptx,20,False,17419,Picture 7,f0bc548355b408283839e9a0e4737f3e31cfc23e87a28e82bb33887646334350,sha256:f0bc548355b40828,substantive,third-party study stimulus or result graphic; no license metadata,protected,represented-in-text-or-activity,appendices/appendix-d-when-evidence-breaks.qmd#a-concrete-update-watched-eyes-and-the-honesty-box,complete,"Eye-image stimulus and study-result plot are represented by a cited cumulative-evidence explanation with boundary conditions. Raw asset ppt/media/image12.png, 639×898 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s21:o1,DPN01. Decision Process.pptx,21,False,23559,Picture 10,a60a2164ab290afad0903978369c755226a2fea57f5a5219989c48c79445a7ce,sha256:a60a2164ab290afa,substantive,deck-embedded conceptual diagram; no reusable license metadata,unclear,represented-in-existing-book-visual,figures/anchor-decoy.svg,complete,"Both Economist subscription screenshots map to the prose example and the original anchor-decoy schematic. Raw asset ppt/media/image13.png, 350×302 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s21:o2,DPN01. Decision Process.pptx,21,False,23563,Picture 5,a5df6fd21f930f04e08c0e03c15452b8b4aa17274ee3390f36158d582ed66960,sha256:a5df6fd21f930f04,substantive,deck-embedded conceptual diagram; no reusable license metadata,unclear,represented-in-existing-book-visual,figures/anchor-decoy.svg,complete,"Both Economist subscription screenshots map to the prose example and the original anchor-decoy schematic. Raw asset ppt/media/image14.png, 331×302 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s22:o1,DPN01. Decision Process.pptx,22,False,13,Picture 7,90635d6853b743997e1be8498d40c7bcf1a7e993fa6c845586ab808290dac1e4,sha256:90635d6853b74399,substantive,deck-embedded third-party or course visual; no reusable license metadata,protected,represented-in-text-or-activity,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd#equivalent-facts-different-meanings,complete,"Protected surgery-consent photographs are replaced by the 90% survival versus 10% complication text pair. Raw asset ppt/media/image15.jpeg, 462×645 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s22:o2,DPN01. Decision Process.pptx,22,False,14,Picture 8,9568a063e2f83c863cf119eeab957e7b2daf61bae4d771259e00bbcfc75c2f00,sha256:9568a063e2f83c86,substantive,deck-embedded third-party or course visual; no reusable license metadata,protected,represented-in-text-or-activity,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd#equivalent-facts-different-meanings,complete,"Protected surgery-consent photographs are replaced by the 90% survival versus 10% complication text pair. Raw asset ppt/media/image16.jpeg, 480×645 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s23:o1,DPN01. Decision Process.pptx,23,False,23559,Picture 3,697da4bd18531bdb0230038f18feac58c9bffb2403ee5b53f114da4f9df0da7c,sha256:697da4bd18531bdb,substantive,third-party study-result chart; no license metadata,protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-5-organ-donation-and-the-power-of-a-default,complete,"Country chart is not copied or redrawn because the slide does not establish a reusable numeric data source; the study and caveat are cited in prose. Raw asset ppt/media/image17.png, 1202×582 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s23:o2,DPN01. Decision Process.pptx,23,False,23560,Picture 5,bc47e7a3dd6a7d01ea4ecc28a59ed306721639ac7aac587ba5f80a16c30f8251,sha256:bc47e7a3dd6a7d01,substantive,third-party study-result chart; no license metadata,protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-5-organ-donation-and-the-power-of-a-default,complete,"Country chart is not copied or redrawn because the slide does not establish a reusable numeric data source; the study and caveat are cited in prose. Raw asset ppt/media/image18.png, 1202×582 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s24:o1,DPN01. Decision Process.pptx,24,False,23561,Picture 2,33c0fe734a614dbc2b0ac32fd99224de055e9d3e3aa8cbdc551da52c5f3c2f14,sha256:33c0fe734a614dbc,substantive,deck-embedded third-party or course visual; no reusable license metadata,protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-5-organ-donation-and-the-power-of-a-default,complete,"Opt-in/opt-out screenshot is represented by a text comparison of the two default rules. Raw asset ppt/media/image19.png, 624×412 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s25:o1,DPN01. Decision Process.pptx,25,False,10,Picture 4,c1065373db12ea28a4d0b7f02ad61b41c7bc9f8c2bd8eb88cd7618405fa1c25b,sha256:c1065373db12ea28,substantive,"product, trademark, or mission-patch image; exact reuse rights not established",protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-6-mars-publicity-and-mars-bar-sales,complete,"Mars brand and Pathfinder imagery are not reproduced; the anecdote and causal caution are in prose. Raw asset ppt/media/image20.png, 640×462 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s25:o2,DPN01. Decision Process.pptx,25,False,11,Picture 2,6e7efc6cbd6b75f08039528727b475a7b8ccbc1f7c33849bf571b5d1803be16d,sha256:6e7efc6cbd6b75f0,substantive,"product, trademark, or mission-patch image; exact reuse rights not established",protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-6-mars-publicity-and-mars-bar-sales,complete,"Mars brand and Pathfinder imagery are not reproduced; the anecdote and causal caution are in prose. Raw asset ppt/media/image21.jpeg, 584×364 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s26:o1,DPN01. Decision Process.pptx,26,False,27,Content Placeholder 5,11ed8f4d9e4b3d75aa2ac881ebb4170f2533558365e4d17ec4cedb589e071b35,sha256:11ed8f4d9e4b3d75,substantive,third-party study-result chart; no license metadata,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,complete,"Fear/romance stimuli, result graphic, and museum imagery are represented by the cited message–motive-fit example. Raw asset ppt/media/image22.png, 622×631 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s26:o2,DPN01. Decision Process.pptx,26,False,30,Picture 2,c10c497ab845c3b7e29e6a469ed29cc85cc04603366ab7ffc6ac46f590922486,sha256:c10c497ab845c3b7,substantive,copyrighted feature-film still or poster used as an experimental mood stimulus,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,complete,"Fear/romance stimuli, result graphic, and museum imagery are represented by the cited message–motive-fit example. Raw asset ppt/media/image23.jpeg, 452×678 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s26:o3,DPN01. Decision Process.pptx,26,False,31,Picture 4,7681ebb9a492bc57b5a05ac800f966fff0535b0ab6ad802c5ca58ba9554aee91,sha256:7681ebb9a492bc57,substantive,copyrighted feature-film still or poster used as an experimental mood stimulus,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,complete,"Fear/romance stimuli, result graphic, and museum imagery are represented by the cited message–motive-fit example. Raw asset ppt/media/image24.jpeg, 356×483 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s26:o4,DPN01. Decision Process.pptx,26,False,32,Picture 14,aa8dd795681e6c4934396c1515bce28241e251ab06a2208625ced9db249057de,sha256:aa8dd795681e6c49,substantive,study legend or message-condition graphic; no license metadata,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,complete,"Fear/romance stimuli, result graphic, and museum imagery are represented by the cited message–motive-fit example. Raw asset ppt/media/image25.png, 240×160 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s26:o5,DPN01. Decision Process.pptx,26,False,33,Picture 18,d961b43db2a8cf1acd8ebd04aebd6b5714717904b37fa55d041936f756c462ed,sha256:d961b43db2a8cf1a,substantive,museum photograph/logo or branded example; no reusable license,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,complete,"Fear/romance stimuli, result graphic, and museum imagery are represented by the cited message–motive-fit example. Raw asset ppt/media/image26.png, 528×556 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s29:o1,DPN01. Decision Process.pptx,29,False,7,Picture 4,1389b9870a360ca6c27db7f2e457f8bce629cbd947056e2f285505d0c2b40f16,sha256:1389b9870a360ca6,substantive,deck-embedded conceptual diagram; no reusable license metadata,unclear,represented-in-existing-book-visual,figures/decision-making-according-to-behavioral-evidence.svg,complete,"Raster behavioral-decision diagram maps to the book’s original accessible SVG. Raw asset ppt/media/image27.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s30:o1,DPN01. Decision Process.pptx,30,False,6,Picture 5,39048d61d9b2d264d758877126b7b60662d756f07af4201d432131c2e0e27a04,sha256:39048d61d9b2d264,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Section or title artwork carries no unique evidence. Raw asset ppt/media/image28.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s31:o1,DPN01. Decision Process.pptx,31,False,22,Picture 17,bf9534bbdd42502f2307db1e95991559d102fc9e23164455c0dc7ce3826c9579,sha256:bf9534bbdd42502f,substantive,third-party brain illustration; no license metadata,unclear,represented-in-existing-book-visual,figures/valuation.svg,complete,"Anatomical valuation illustration is replaced by the original distributed-input valuation schematic and cautious localization prose. Raw asset ppt/media/image29.png, 1536×1024 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s33:o1,DPN01. Decision Process.pptx,33,False,14,Content Placeholder 5,92ec00f5af86675380f02e1f5d821ab57f7bbe60fd3a47da1e7204a748da507e,sha256:92ec00f5af866753,substantive,third-party journal or study graphic; no license metadata,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#automatic-evaluation-is-a-first-pass-not-the-decision,complete,"The protected reward/force study graphic is represented by the cited task description and limited-awareness caveat. Raw asset ppt/media/image30.png, 2218×956 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s36:o1,DPN01. Decision Process.pptx,36,False,14,Content Placeholder 5,13029cdb4d17b05ff326b10c365a1f14f72a6379d9ea831caa53091bc7578356,sha256:13029cdb4d17b05f,substantive,third-party or course result chart; no license metadata,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#the-self-changes-value,complete,"Implicit-egotism chart is not reproduced; self-relevance and the limits of implicit-egotism claims are explained in prose. Raw asset ppt/media/image31.gif, 1435×764 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s36:o2,DPN01. Decision Process.pptx,36,False,15,Content Placeholder 5,13029cdb4d17b05ff326b10c365a1f14f72a6379d9ea831caa53091bc7578356,sha256:13029cdb4d17b05f,duplicate,exact embedded-asset duplicate of DPN01 slide 36 occurrence o1,protected,duplicate-accounted,chapters/05-valuation-how-options-become-worth-choosing.qmd#the-self-changes-value,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 36 occurrence o1. Raw asset ppt/media/image31.gif, 1435×764 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s40:o1,DPN01. Decision Process.pptx,40,False,7,大卫的大脑科学 第4集 (1),0b1f45e03e2eee30e511ce770d9aa7abd1d6b533722b59d144bbdd166fa20ec0,sha256:0b1f45e03e2eee30,substantive,BBC programme thumbnail; no reusable license or clean source URL,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#emotion-tells-the-mind-what-matters,complete,"BBC video thumbnail is not redistributed and no clean authorized URL exists in the deck; Damasio’s case is covered in cited prose. Raw asset ppt/media/image32.png, 1280×720 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s40:o2,DPN01. Decision Process.pptx,40,False,8,大卫的大脑科学 第4集 (1),0b1f45e03e2eee30e511ce770d9aa7abd1d6b533722b59d144bbdd166fa20ec0,sha256:0b1f45e03e2eee30,duplicate,exact embedded-asset duplicate of DPN01 slide 40 occurrence o1,protected,duplicate-accounted,chapters/05-valuation-how-options-become-worth-choosing.qmd#emotion-tells-the-mind-what-matters,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 40 occurrence o1. Raw asset ppt/media/image32.png, 1280×720 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s41:o1,DPN01. Decision Process.pptx,41,False,13,Content Placeholder 5,1d843b76161f3662f46527e1e7559eea50ae113a299889eccd66e7006d046dec,sha256:1d843b76161f3662,substantive,third-party journal result graphic; no license metadata,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,complete,"Protected sexual-cue discounting chart is replaced by cited prose that also records later null or limited evidence. Raw asset ppt/media/image33.png, 1026×756 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s41:o2,DPN01. Decision Process.pptx,41,False,14,Content Placeholder 5,1d843b76161f3662f46527e1e7559eea50ae113a299889eccd66e7006d046dec,sha256:1d843b76161f3662,duplicate,exact embedded-asset duplicate of DPN01 slide 41 occurrence o1,protected,duplicate-accounted,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 41 occurrence o1. Raw asset ppt/media/image33.png, 1026×756 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s42:o1,DPN01. Decision Process.pptx,42,False,9,slide.url=https://www.polleverywhere.com/multiple_choice_polls/bvmJmXYXz57a5v8ygHyP7?display_state=instructions&activity_state=opened&state=opened&flow=Instructor&onscreen=persist,2358ed91cca05d8614e22fb8f71bff07d628cc74eba743c6407eb8f97cde0fb0,sha256:2358ed91cca05d86,administrative,deck-embedded QR code or live-platform screenshot,protected,administrative-omitted,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd#record-before-review-after,accounted,"Poll Everywhere screenshot and QR are omitted; the five-manager learning question is in Chapter 18. Raw asset ppt/media/image34.png, 1600×900 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s42:o2,DPN01. Decision Process.pptx,42,False,10,Picture 6,87dc0cdd56f5950578997b319eb93442e5f9369b279e18ea6df97388848de82b,sha256:87dc0cdd56f59505,administrative,deck-embedded QR code or live-platform screenshot,protected,administrative-omitted,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd#record-before-review-after,accounted,"Poll Everywhere screenshot and QR are omitted; the five-manager learning question is in Chapter 18. Raw asset ppt/media/image35.png, 209×208 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s43:o1,DPN01. Decision Process.pptx,43,False,6,Picture 5,57b7e9e0b21981a371adb05717bab5879ba9a3f96a18b0825986a4e2e274bef0,sha256:57b7e9e0b21981a3,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Section or title artwork carries no unique evidence. Raw asset ppt/media/image36.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s46:o1,DPN01. Decision Process.pptx,46,False,43,Picture 29,d5e05e36c23b2f48a3e609ecf945d13a5ffd0b698a8585045cf4376142aaa4c3,sha256:d5e05e36c23b2f48,substantive,deck-embedded third-party or course visual; no reusable license metadata,protected,represented-in-text-or-activity,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd#choice-blindness-and-the-confidence-of-explanation,complete,"Choice-blindness stimulus photograph is not reproduced; the switched-face and identical-product demonstrations are described and cited. Raw asset ppt/media/image37.png, 480×480 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s50:o1,DPN01. Decision Process.pptx,50,False,6,Picture 5,db66a32798f350513e7e5bfa42b12b84f245e2cfd1f4f36b32c2542612adc3fe,sha256:db66a32798f35051,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Section or title artwork carries no unique evidence. Raw asset ppt/media/image38.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s52:o1,DPN01. Decision Process.pptx,52,False,16,Picture 9,faebfd41ef7ace5415798c00d886b16318153aef306f712d18a80f3a0fb1f12a,sha256:faebfd41ef7ace54,administrative,deck-embedded QR code or live-platform screenshot,protected,administrative-omitted,chapters/01-decision-making-is-a-process-not-a-moment.qmd#activity,accounted,"Audit Part 2 QR omitted; the audit is self-contained in the chapter activity. Raw asset ppt/media/image39.png, 982×982 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s54:o1,DPN01. Decision Process.pptx,54,False,4,Image 0,dc3c42270e494a1955bf55718e078c33d2662bdb3fb20294ab42c423a6c913d9,sha256:dc3c42270e494a19,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Closing artwork omitted; the final diagnostic sentence is retained as prose. Raw asset ppt/media/image40.jpeg, 1672×941 px; duplicate-group count in global inventory: 3."
DPN01. Decision Process:s55:o1,DPN01. Decision Process.pptx,55,False,10,Image 0,67146575d2c8d0740eb30e15fca03fa6518fd2d0c310f3af86d07814e49e70fc,sha256:67146575d2c8d074,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Complementary-section artwork omitted; it contains no unique evidence. Raw asset ppt/media/image41.jpeg, 1672×941 px; duplicate-group count in global inventory: 3."
DPN01. Decision Process:s64:o1,DPN01. Decision Process.pptx,64,True,8,Picture 4,26806cfad1024abca48fa29629d9c920966f8d45cc81c52bf89c4ed47b408d50,sha256:26806cfad1024abc,substantive,historical portrait; exact scan and provenance unverified,unclear,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#automatic-evaluation-is-a-first-pass-not-the-decision,complete,"Exact Hume portrait provenance is unverified; the historical quotation and its narrow teaching interpretation are in prose. Raw asset ppt/media/image42.jpeg, 791×900 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s66:o1,DPN01. Decision Process.pptx,66,True,27,Picture 2,c10c497ab845c3b7e29e6a469ed29cc85cc04603366ab7ffc6ac46f590922486,sha256:c10c497ab845c3b7,duplicate,exact embedded-asset duplicate of DPN01 slide 26 occurrence o2,protected,duplicate-accounted,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 26 occurrence o2. Raw asset ppt/media/image23.jpeg, 452×678 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s66:o2,DPN01. Decision Process.pptx,66,True,28,Picture 4,7681ebb9a492bc57b5a05ac800f966fff0535b0ab6ad802c5ca58ba9554aee91,sha256:7681ebb9a492bc57,duplicate,exact embedded-asset duplicate of DPN01 slide 26 occurrence o3,protected,duplicate-accounted,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 26 occurrence o3. Raw asset ppt/media/image24.jpeg, 356×483 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s66:o3,DPN01. Decision Process.pptx,66,True,29,Picture 18,d961b43db2a8cf1acd8ebd04aebd6b5714717904b37fa55d041936f756c462ed,sha256:d961b43db2a8cf1a,duplicate,exact embedded-asset duplicate of DPN01 slide 26 occurrence o5,protected,duplicate-accounted,chapters/05-valuation-how-options-become-worth-choosing.qmd#motives-change-the-decision-landscape,accounted,"Exact SHA-256 duplicate; substantive/decorative disposition is already recorded at DPN01 slide 26 occurrence o5. Raw asset ppt/media/image26.png, 528×556 px; duplicate-group count in global inventory: 2."
DPN01. Decision Process:s74:o1,DPN01. Decision Process.pptx,74,True,6,Picture 5,0f5263eaba29d7393420fd78fe41f7ef91bd5db1b390eb75d3f715f87ff19868,sha256:0f5263eaba29d739,decorative,deck-embedded title or divider artwork; no reusable license metadata,unclear,decorative-omitted,none,accounted,"Narrator divider art omitted; Chapter 18 carries the concept. Raw asset ppt/media/image43.png, 1672×941 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s77:o1,DPN01. Decision Process.pptx,77,True,17417,Picture 1,b757cc1bd4855c7f4fd6a1ae2a61b4dde1940df3e8052757d1661e67ad56eb79,sha256:b757cc1bd4855c7f,substantive,government website screenshot and logo; reuse terms not verified,protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-5-organ-donation-and-the-power-of-a-default,complete,"Danish ministry branding and organ-donation webpage screenshot are not reproduced; default effects are represented in prose. Raw asset ppt/media/image44.png, 1186×515 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s77:o2,DPN01. Decision Process.pptx,77,True,17418,Picture 7,9b400116e829e850b0fa0ef5d77eb3e2d07f29bf6374f71dc31f5a92b95767dc,sha256:9b400116e829e850,substantive,government website screenshot and logo; reuse terms not verified,protected,represented-in-text-or-activity,chapters/01-decision-making-is-a-process-not-a-moment.qmd#example-5-organ-donation-and-the-power-of-a-default,complete,"Danish ministry branding and organ-donation webpage screenshot are not reproduced; default effects are represented in prose. Raw asset ppt/media/image45.png, 1384×234 px; duplicate-group count in global inventory: 1."
DPN01. Decision Process:s80:o1,DPN01. Decision Process.pptx,80,True,32,Image 0,e869ad025a9a7fc40c101a72028cdb66e53088d3dd7a41e0c9e1f9aa268974f2,sha256:e869ad025a9a7fc4,substantive,third-party experimental stimulus sheet; no license metadata,protected,represented-in-text-or-activity,chapters/05-valuation-how-options-become-worth-choosing.qmd#automatic-evaluation-is-a-first-pass-not-the-decision,complete,"Prime-picture sheet is a protected experimental stimulus set; the paradigm, result, correction, and limits are described and cited. Raw asset ppt/media/image46.png, 1496×1270 px; duplicate-group count in global inventory: 2."
