"source_path","source_group","format","source_role","final_status","final_destination","final_handling","source_sha256"
"05 - Strategic and Social Decisions/11. Behavioral Game Theory.pdf","05/Strategic interdependence and behavioral game theory","pdf","student-facing PDF handout/export","supporting_duplicate","Chapters 27–28: strategic interdependence and behavioral game theory","No double counting: integrated through the named canonical source or source family.","4770047ca75ec93e3d537b7896c2238093e3d6e316cb8607dc1a8ee4c6913d7c"
"05 - Strategic and Social Decisions/11. Behavioral Game Theory.pptx","05/Strategic interdependence and behavioral game theory","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapters 27–28: strategic interdependence and behavioral game theory","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","86f8bc5e09f78e4ac019508ca11245da576b139733d15e26f277157a1a5a0ce4"
"05 - Strategic and Social Decisions/11. Strategic Interdependence.pdf","05/Strategic interdependence","pdf","student-facing PDF handout/export","supporting_duplicate","Chapters 27–28: strategic interdependence and behavioral game theory","No double counting: integrated through the named canonical source or source family.","0cc32ae7c40203c1e8d4119e2fc9e31f27b97779ebc77e6f054b74da1a652fe5"
"05 - Strategic and Social Decisions/11. Strategic Interdependence.pptx","05/Strategic interdependence","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapters 27–28: strategic interdependence and behavioral game theory","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","f3a98cb874b947aca17adc73a808c3559f5d91876411cacbb7c46591204c8881"
"05 - Strategic and Social Decisions/12. Cooperation and Coordination.pdf","05/Cooperation and coordination","pdf","student-facing PDF handout/export","supporting_duplicate","Chapter 29: cooperation, repeated interaction, and social preferences","No double counting: integrated through the named canonical source or source family.","1226e88f201caa9aa059aa769a34576fb015786a7b24399976dce3b66b3d80dc"
"05 - Strategic and Social Decisions/12. Cooperation and Coordination.pptx","05/Cooperation and coordination","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 29: cooperation, repeated interaction, and social preferences","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","1fb9159cde8d543ac91b1fd5b50cccb342548480ef8dfd7e48af90c503a8551f"
"05 - Strategic and Social Decisions/13. Social Norms.pdf","05/Social preferences and norms","pdf","student-facing PDF handout/export","supporting_duplicate","Chapters 29 and 31–32: social preferences, norms, and culture","No double counting: integrated through the named canonical source or source family.","931e19ecb89932bb70a47f8c03a24273485a098ab5a4ae185f2109787813f823"
"05 - Strategic and Social Decisions/13. Social Norms.pptx","05/Social preferences and norms","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapters 29 and 31–32: social preferences, norms, and culture","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","e8eb092373ac74260a1d2f36766bd6353436253180bac8b53dd5054c83debd10"
"05 - Strategic and Social Decisions/13. Social Preferences and Social Norms.pdf","05/Social preferences and norms","pdf","combined composite PDF handout","supporting_duplicate","Chapters 29 and 31–32: social preferences, norms, and culture","No double counting: integrated through the named canonical source or source family.","3f1fce841c2d68a8b2d614f4a7a10eeaef6611354fda0eb8e020c0b6afb49a0e"
"05 - Strategic and Social Decisions/13. Social Preferences and Social Norms.pptx","05/Social preferences and norms","pptx","combined composite deck/handout","supporting_duplicate","Chapters 29 and 31–32: social preferences, norms, and culture","No double counting: integrated through the named canonical source or source family.","eb719100d78f445206709fac4daa14070f5ee8b1e5a5143fc3a71c830adb8497"
"05 - Strategic and Social Decisions/13. Social Preferences.pdf","05/Social preferences and norms","pdf","student-facing PDF handout/export","supporting_duplicate","Chapters 29 and 31–32: social preferences, norms, and culture","No double counting: integrated through the named canonical source or source family.","724f5074feb1be74d92158523029f77ef2079d4fb44a4ab7d928df4b8000aed2"
"05 - Strategic and Social Decisions/13. Social Preferences.pptx","05/Social preferences and norms","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapters 29 and 31–32: social preferences, norms, and culture","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","d902dbd59886b44b2772d6de714550e3bd67f667176bab7157c617e0535f8fd6"
"05 - Strategic and Social Decisions/21. Evolutionary Game Theory.pptx","05/Evolutionary game theory","pptx","legacy editable lecture deck with speaker notes","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","96a277dbf121501525d58017627ce74447c6df125eccffc2b5d372cc6037864f"
"05 - Strategic and Social Decisions/22. Evolution of Cooperation.pptx","05/Evolutionary game theory","pptx","incomplete eight-slide lecture fragment","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","0bab5e212aaf3d97248ace2612375133742fc9a9bf01dffe4458366409ed6195"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.aux","05/Evolutionary game theory/TeX build","aux","LaTeX build auxiliary","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","3e6e0dec9f23cc46fac8b7bb6b5e3a4d9024ad432e2ad45d8c961783b838d223"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.bbl","05/Evolutionary game theory/TeX build","bbl","generated bibliography","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","38dfc974303a300f20b5cdcd96942b0686d8e3acef426c9e4f744625f0fb9b66"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.blg","05/Evolutionary game theory/TeX build","blg","BibTeX build log","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","d3a8758d3296033e2699fe398546bcaa3a0cef7bf5a218a2515350634537d42b"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.log","05/Evolutionary game theory/TeX build","log","LaTeX compilation log","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","c772ad5351373a986c58297f67040f49637ddbb4c00c43d55f2786f810fbffac"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.nav","05/Evolutionary game theory/TeX build","nav","Beamer navigation artifact","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","52067fd573ea64deb2002dab4bca26fe63fdf5061ec46ebbf082880fe656b4c0"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.out","05/Evolutionary game theory/TeX build","out","PDF bookmark/navigation artifact","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","55170976ebf8db59c830be5114ef328e1d9dc34460a2462771bcb779395d86d0"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.pdf","05/Evolutionary game theory","pdf","compiled Beamer PDF derivative","supporting_duplicate","Chapter 29: advanced evolutionary-game layer","No double counting: integrated through the named canonical source or source family.","c52456c2ca659f85073227c5dd5e998820d4b7c0e17efb702b43fe28031798f0"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.snm","05/Evolutionary game theory/TeX build","snm","empty Beamer build artifact","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.synctex.gz","05/Evolutionary game theory/TeX build","gz","SyncTeX build artifact","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","3fd16dd70eabeba5d3dc479dd93b7051589fb9315d8894c2ff40105f4432d870"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.tex","05/Evolutionary game theory","tex","editable canonical TeX lecture source","supporting_duplicate","Chapter 29: advanced evolutionary-game layer","No double counting: integrated through the named canonical source or source family.","05e8a8b74a6b6ce6d8d85a5c71944e3e0372b5245e999dc04405654a63c4adeb"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.toc","05/Evolutionary game theory/TeX build","toc","Beamer table-of-contents artifact","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","dff924ed50b1b31e1f791061a0980cbd528f31afcdf4482f4b87980a8d94ddc5"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/2by2_game.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","4daabf922c67ad78bb15ade1fae7bb9f4f63271009e0b9498a56ca1268d144ce"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/Ethnocentrism.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","444582d3adc018f904acc1ce4aec7a7ec85802f9c8ebc8521f5e998a33c3c629"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/Segregation.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","50a2a3229e36f4c22bd7434fd33ae5b2f29eb4ba479f21ceefa92d23d2a01f32"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/spatial_PD.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","f3c9c9ce7878ba3f36e421c5b469902a2ec6c3fbc290f7fb11f47c037ee1046f"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/spatial_PD_10.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","e83b6194ea5d7f97d9bf1b26f640b7fa83d5886954460897de3ee1744f527662"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/spatial_game.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","c741405fddb24c210bc017af2fdd73a14730855118ee8904baa46dd87b7e149c"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/NetLogo/spatial_game_10.nlogo","05/Evolutionary game theory/NetLogo models","nlogo","editable NetLogo model source","incorporated_via_source_family","Chapter 29: advanced evolutionary-game layer","Distinctive, relevant concepts, examples, activities, and cautions were integrated in the mapped destination; obsolete administration and unsupported claims were omitted.","4a0b3c46ba08472e77c64db24105e1aef90ce10ca79c06af7331ba39384f3b46"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/.picasa.ini","05/Evolutionary game theory/images","ini","Picasa crop/rotation metadata","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","8fea2b672d0bea431a0f79c89dea5f27fc1c70207f9bef5c548fdd263a870ec0"
"05 - Strategic and Social Decisions/Evolutionary Game Theory/img/.picasaoriginals/.picasa.ini","05/Evolutionary game theory/images","ini","Picasa crop/rotation metadata","excluded_noncontent","Chapter 29: advanced evolutionary-game layer","Administrative or generated build artifact; inventoried and verified, but it contains no book content.","093e35b35f14b781d18795bf83732d68609a59d2404fcbb81867e5e2ac5601d2"
