"source_path","source_group","format","size_bytes","sha256","slides_or_pages","hidden_slides","notes_present","duplicate_of","role","content_summary","examples_activities","quant_claims","citations_urls","visuals_rights","current_destination","gap_status","recommended_destination","disposition","verification_notes"
"05 - Strategic and Social Decisions/11. Strategic Interdependence.pdf","05/Strategic interdependence","pdf","2530963","0cc32ae7c40203c1e8d4119e2fc9e31f27b97779ebc77e6f054b74da1a652fe5","50 pages","","","Handout/export derivative of 05 - Strategic and Social Decisions/11. Strategic Interdependence.pptx (not byte-identical)","student-facing PDF handout/export","Teaching arc from diagnosing coordination/conflict/mixed motives to focal points and shared culture, beauty contests and higher-order beliefs, level-k and cognitive hierarchy, formal games and Nash equilibrium, price wars and repeated interaction, then bargaining, auctions, escalation, and commitments.","Independent Odense meeting-point activity; QWERTY as a coordination standard with the disputed origin story made explicit; celebrity beauty contest; 2/3 guessing game; airline price-war matrix; announced one-shot plus four repeated rounds; ultimatum/fairness discussion; 50-kr auction; Ford price promise; bargaining-coordination matrix.","Level-k responses 0/random, 33, 22, 15, ...; cognitive-hierarchy tau table (students about 1.1-1.6, economics PhDs 2.3, portfolio managers 2.8, Caltech/newspaper participants about 3, game theorists 3.7); price-war matrix H/H=(10,10), H/L=(2,15), L/H=(15,2), L/L=(5,5).","Schelling (1960); David (1985); Liebowitz & Margolis (1990); Nagel (1995); Nash (1950); Camerer (2003); Camerer, Ho & Chong (2004); Crawford, Costa-Gomes & Iriberri (2013); Rao, Bergen & Davis (2000); Shubik (1971); Staw (1976). URLs in file: https://youtu.be/0sPVEBAtwmg; https://youtu.be/Q-a1I61sIO8","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","_quarto-html.yml lists planned chapters/46-strategic-interdependence.qmd, absent at audit time; bargaining/escalation fragments occur in Chapters 30-34 and 14.","Missing dedicated treatment; planned destination exists only in configuration.","chapters/46-strategic-interdependence.qmd in a new Strategic and Social Decisions Part.","Use to verify visible student sequence and page grouping; ingest concepts from the editable PPTX/modern revised deck and primary sources, not from rasterized journal figures.","Page count and extracted text inspected; PDF is not a byte-identical duplicate of the corresponding PPTX."
"05 - Strategic and Social Decisions/11. Strategic Interdependence.pptx","05/Strategic interdependence","pptx","14509049","f3a98cb874b947aca17adc73a808c3559f5d91876411cacbb7c46591204c8881","80 slides","0","yes — 64/80 slides contain non-empty notes","","legacy editable lecture deck with speaker notes","Teaching arc from diagnosing coordination/conflict/mixed motives to focal points and shared culture, beauty contests and higher-order beliefs, level-k and cognitive hierarchy, formal games and Nash equilibrium, price wars and repeated interaction, then bargaining, auctions, escalation, and commitments.","Independent Odense meeting-point activity; QWERTY as a coordination standard with the disputed origin story made explicit; celebrity beauty contest; 2/3 guessing game; airline price-war matrix; announced one-shot plus four repeated rounds; ultimatum/fairness discussion; 50-kr auction; Ford price promise; bargaining-coordination matrix.","Level-k responses 0/random, 33, 22, 15, ...; cognitive-hierarchy tau table (students about 1.1-1.6, economics PhDs 2.3, portfolio managers 2.8, Caltech/newspaper participants about 3, game theorists 3.7); price-war matrix H/H=(10,10), H/L=(2,15), L/H=(15,2), L/L=(5,5).","Schelling (1960); David (1985); Liebowitz & Margolis (1990); Nagel (1995); Nash (1950); Camerer (2003); Camerer, Ho & Chong (2004); Crawford, Costa-Gomes & Iriberri (2013); Rao, Bergen & Davis (2000); Shubik (1971); Staw (1976). URLs in file: https://econ-experiment.herokuapp.com/room/be/; https://youtu.be/-opqUSOUDQY; https://youtu.be/0sPVEBAtwmg; https://youtu.be/7mETgb-fPRo; https://youtu.be/Q-a1I61sIO8; https://youtu.be/UAR7WDrL3Ec; https://youtu.be/Yqvbv-SB4bg; https://youtu.be/dSOrAQMXTcc; youtu.be/Q-a1I61sIO8; youtu.be/0sPVEBAtwmg; https://zecon.herokuapp.com/room/; http://10.94.42.255:8000/room/be/; youtu.be/7mETgb-fPRo; youtu.be/UAR7WDrL3Ec; youtu.be/dSOrAQMXTcc; youtu.be/-opqUSOUDQY; youtu.be/Yqvbv-SB4bg","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","_quarto-html.yml lists planned chapters/46-strategic-interdependence.qmd, absent at audit time; bargaining/escalation fragments occur in Chapters 30-34 and 14.","Missing dedicated treatment; planned destination exists only in configuration.","chapters/46-strategic-interdependence.qmd in a new Strategic and Social Decisions Part.","Mine speaker notes, classroom sequence, activities, and unique examples; de-duplicate against root/modern variants and use current revised sources for final claim wording.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/12. Cooperation and Coordination.pdf","05/Cooperation and coordination","pdf","2887008","1226e88f201caa9aa059aa769a34576fb015786a7b24399976dce3b66b3d80dc","54 pages","","","Handout/export derivative of 05 - Strategic and Social Decisions/12. Cooperation and Coordination.pptx (not byte-identical)","student-facing PDF handout/export","One-shot social dilemmas versus repeated games; conditional cooperation and reciprocity; tit-for-tat, monitoring, noise and forgiveness; regulation and institutions; coordination, path dependence, stag hunt, risk versus payoff dominance, chicken, volunteer's dilemma, Battle of the Sexes, commitments, and escalation.","Repeated Prisoner's Dilemma activity; World War I live-and-let-live/trench truce; Golden Balls; QWERTY/path dependence; stag hunt; 3DO/chicken; volunteer's dilemma; Battle of the Sexes; commitment demonstrations.","Uses payoff matrices and the Prisoner's Dilemma ordering T>R>P>S; numerical values are pedagogical examples, not empirical estimates.","Axelrod (1984); Schelling (1960); Nowak (2006); Dal Bo & Frechette (2018), plus linked classroom videos/cases. URLs in file: https://youtu.be/-opqUSOUDQY; https://youtu.be/7FbkwrhW_0I; https://youtu.be/LPwZ3wYoSmA; https://youtu.be/UAR7WDrL3Ec; https://youtu.be/Yqvbv-SB4bg; https://youtu.be/dSOrAQMXTcc; youtu.be/UAR7WDrL3Ec; youtu.be/dSOrAQMXTcc; youtu.be/Yqvbv-SB4bg; youtu.be/-opqUSOUDQY; youtu.be/7FbkwrhW_0I; youtu.be/LPwZ3wYoSmA","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","No dedicated current chapter file; _quarto-html.yml lists planned chapters/48-cooperation-social-preferences.qmd, absent at audit time. Chapters 23 and 37 discuss norms/culture without the game-theoretic mechanisms.","Missing repeated-game and coordination architecture; social-influence chapters cover only adjacent ideas.","chapters/48-cooperation-social-preferences.qmd, with one-shot, repeated, and evolutionary mechanisms explicitly separated.","Use to verify visible student sequence and page grouping; ingest concepts from the editable PPTX/modern revised deck and primary sources, not from rasterized journal figures.","Page count and extracted text inspected; PDF is not a byte-identical duplicate of the corresponding PPTX."
"05 - Strategic and Social Decisions/12. Cooperation and Coordination.pptx","05/Cooperation and coordination","pptx","29031167","1fb9159cde8d543ac91b1fd5b50cccb342548480ef8dfd7e48af90c503a8551f","85 slides","0","yes — 72/85 slides contain non-empty notes","","legacy editable lecture deck with speaker notes","One-shot social dilemmas versus repeated games; conditional cooperation and reciprocity; tit-for-tat, monitoring, noise and forgiveness; regulation and institutions; coordination, path dependence, stag hunt, risk versus payoff dominance, chicken, volunteer's dilemma, Battle of the Sexes, commitments, and escalation.","Repeated Prisoner's Dilemma activity; World War I live-and-let-live/trench truce; Golden Balls; QWERTY/path dependence; stag hunt; 3DO/chicken; volunteer's dilemma; Battle of the Sexes; commitment demonstrations.","Uses payoff matrices and the Prisoner's Dilemma ordering T>R>P>S; numerical values are pedagogical examples, not empirical estimates.","Axelrod (1984); Schelling (1960); Nowak (2006); Dal Bo & Frechette (2018), plus linked classroom videos/cases. URLs in file: https://econ-experiment.herokuapp.com/room/be/; https://youtu.be/-opqUSOUDQY; https://youtu.be/7FbkwrhW_0I; https://youtu.be/7mETgb-fPRo; https://youtu.be/LPwZ3wYoSmA; https://youtu.be/UAR7WDrL3Ec; https://youtu.be/Yqvbv-SB4bg; https://youtu.be/dSOrAQMXTcc; youtu.be/UAR7WDrL3Ec; youtu.be/dSOrAQMXTcc; youtu.be/Yqvbv-SB4bg; youtu.be/-opqUSOUDQY; youtu.be/7FbkwrhW_0I; youtu.be/LPwZ3wYoSmA; https://zecon.herokuapp.com/room/; http://10.94.42.255:8000/room/be/; youtu.be/7mETgb-fPRo","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","No dedicated current chapter file; _quarto-html.yml lists planned chapters/48-cooperation-social-preferences.qmd, absent at audit time. Chapters 23 and 37 discuss norms/culture without the game-theoretic mechanisms.","Missing repeated-game and coordination architecture; social-influence chapters cover only adjacent ideas.","chapters/48-cooperation-social-preferences.qmd, with one-shot, repeated, and evolutionary mechanisms explicitly separated.","Mine speaker notes, classroom sequence, activities, and unique examples; de-duplicate against root/modern variants and use current revised sources for final claim wording.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/13. Social Norms.pdf","05/Social preferences and norms","pdf","1576814","931e19ecb89932bb70a47f8c03a24273485a098ab5a4ae185f2109787813f823","31 pages","","","Handout/export derivative of 05 - Strategic and Social Decisions/13. Social Norms.pptx (not byte-identical)","student-facing PDF handout/export","Social norms as empirical and normative expectations with internal and external enforcement; distinction from stable social preferences; trust, punishment, guilt/anger, visibility/reputation, norm elicitation through coordination, minimal groups and in-group favoritism, integrated expectation-based models, and perceived fairness in market transactions.","Krupka-Weber norm-elicitation coordination task; minimal-group allocations; public/private giving; punishment/trust games; daycare fines; business-fairness vignettes.","Kahneman-Knetsch-Thaler vignettes report unfairness rates including 82%, 74%, and 91% in selected scenarios, and 21%, 71%, and 42% for cost-based price rise, surcharge above list, and removal of a discount. Gender/minimal-group slides show unlabeled significance markers and must not be reproduced as empirical results without underlying methods/data.","Bicchieri (norm framework); Krupka & Weber (norm elicitation); Hoffman et al. (1994); Kahneman, Knetsch & Thaler (1986); Gneezy & Rustichini (daycare fine).","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","chapters/23-conformity-norms-and-social-proof.qmd and chapters/37-culture-identity-social-meaning.qmd discuss norms descriptively but omit expectation-based definitions, elicitation, punishment, and social-preference distinctions.","Partial conceptual coverage; formal mechanisms, activities, and evidence are missing.","Expand Chapter 23 and cross-reference chapters/48-cooperation-social-preferences.qmd; retain culture/identity applications in Chapter 37.","Use to verify visible student sequence and page grouping; ingest concepts from the editable PPTX/modern revised deck and primary sources, not from rasterized journal figures.","Page count and extracted text inspected; PDF is not a byte-identical duplicate of the corresponding PPTX."
"05 - Strategic and Social Decisions/13. Social Norms.pptx","05/Social preferences and norms","pptx","2871394","e8eb092373ac74260a1d2f36766bd6353436253180bac8b53dd5054c83debd10","51 slides","0","yes — 20/51 slides contain non-empty notes","","legacy editable lecture deck with speaker notes","Social norms as empirical and normative expectations with internal and external enforcement; distinction from stable social preferences; trust, punishment, guilt/anger, visibility/reputation, norm elicitation through coordination, minimal groups and in-group favoritism, integrated expectation-based models, and perceived fairness in market transactions.","Krupka-Weber norm-elicitation coordination task; minimal-group allocations; public/private giving; punishment/trust games; daycare fines; business-fairness vignettes.","Kahneman-Knetsch-Thaler vignettes report unfairness rates including 82%, 74%, and 91% in selected scenarios, and 21%, 71%, and 42% for cost-based price rise, surcharge above list, and removal of a discount. Gender/minimal-group slides show unlabeled significance markers and must not be reproduced as empirical results without underlying methods/data.","Bicchieri (norm framework); Krupka & Weber (norm elicitation); Hoffman et al. (1994); Kahneman, Knetsch & Thaler (1986); Gneezy & Rustichini (daycare fine). URLs in file: https://doi.org/10.1126/science.1100735","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","chapters/23-conformity-norms-and-social-proof.qmd and chapters/37-culture-identity-social-meaning.qmd discuss norms descriptively but omit expectation-based definitions, elicitation, punishment, and social-preference distinctions.","Partial conceptual coverage; formal mechanisms, activities, and evidence are missing.","Expand Chapter 23 and cross-reference chapters/48-cooperation-social-preferences.qmd; retain culture/identity applications in Chapter 37.","Mine speaker notes, classroom sequence, activities, and unique examples; de-duplicate against root/modern variants and use current revised sources for final claim wording.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/13. Social Preferences and Social Norms.pdf","05/Social preferences and norms","pdf","2887796","3f1fce841c2d68a8b2d614f4a7a10eeaef6611354fda0eb8e020c0b6afb49a0e","50 pages","","","Composite/overlapping derivative of the separate Social Preferences and Social Norms decks (not byte-identical)","combined composite PDF handout","Composite deck combining the social-preferences and social-norms sequences with overlapping slides and transitions.","Ultimatum/dictator games, fairness among primates, norm elicitation, minimal groups, punishment/trust, daycare fine, and market-fairness vignettes.","Contains the Andreoni-Miller classification percentages and Kahneman-Knetsch-Thaler unfairness rates summarized in the separate component decks.","Composite bibliography from the Social Preferences and Social Norms decks. URLs in file: https://youtu.be/xot4z1CKFMo; youtu.be/xot4z1CKFMo","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","Related material is dispersed across Chapters 23, 30-34, and 37; planned Chapter 48 is absent.","Partial and fragmented; use component decks to avoid double-counting.","Chapter 48 for social preferences/cooperation; Chapter 23 for expectation-based norms; Chapter 37 for culture/identity.","Use only for transitions and any unique combined framing; ingest substantive content from the two component decks to avoid double-counting.","Page count and extracted text inspected; PDF is not a byte-identical duplicate of the corresponding PPTX."
"05 - Strategic and Social Decisions/13. Social Preferences and Social Norms.pptx","05/Social preferences and norms","pptx","4882793","eb719100d78f445206709fac4daa14070f5ee8b1e5a5143fc3a71c830adb8497","65 slides","0","yes — 34/65 slides contain non-empty notes","Composite/overlapping derivative of the separate Social Preferences and Social Norms decks (not byte-identical)","combined composite deck/handout","Composite deck combining the social-preferences and social-norms sequences with overlapping slides and transitions.","Ultimatum/dictator games, fairness among primates, norm elicitation, minimal groups, punishment/trust, daycare fine, and market-fairness vignettes.","Contains the Andreoni-Miller classification percentages and Kahneman-Knetsch-Thaler unfairness rates summarized in the separate component decks.","Composite bibliography from the Social Preferences and Social Norms decks. URLs in file: https://youtu.be/xot4z1CKFMo; youtu.be/xot4z1CKFMo; www.youtube.com","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","Related material is dispersed across Chapters 23, 30-34, and 37; planned Chapter 48 is absent.","Partial and fragmented; use component decks to avoid double-counting.","Chapter 48 for social preferences/cooperation; Chapter 23 for expectation-based norms; Chapter 37 for culture/identity.","Use only for transitions and any unique combined framing; ingest substantive content from the two component decks to avoid double-counting.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/13. Social Preferences.pdf","05/Social preferences and norms","pdf","1437905","724f5074feb1be74d92158523029f77ef2079d4fb44a4ab7d928df4b8000aed2","21 pages","","","Handout/export derivative of 05 - Strategic and Social Decisions/13. Social Preferences.pptx (not byte-identical)","student-facing PDF handout/export","Evidence that material self-interest alone does not explain allocation and bargaining; ultimatum and dictator games; distributional preferences versus intention-based reciprocity; inequality aversion, ERC, efficiency, maximin/Rawlsian concerns, revealed-preference classification, neural evidence, and primate inequity responses.","Ultimatum and dictator games; modified dictator allocation choices; equity-efficiency trade-off; capuchin/grape-cucumber fairness video.","Deck reports ultimatum offers commonly centered around 40-50%, mean offers around 30-40%, and rejection of offers below 20% around half; bound these claims by design/culture/stakes. Andreoni & Miller: 176 subjects, 1,600+ choices; 47.2% selfish, 30.4% Rawlsian, 22.4% utilitarian classifications.","Fehr & Schmidt (1999); Bolton & Ockenfels (2000); Charness & Rabin (2002); Andreoni & Miller (2002); Oosterbeek, Sloof & van de Kuilen (2004). URLs in file: https://youtu.be/xot4z1CKFMo; youtu.be/xot4z1CKFMo","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","Only general fairness/reciprocity language appears in negotiation and culture chapters; planned chapters/48-cooperation-social-preferences.qmd is absent at audit time.","Core models, identification tasks, and cross-cultural boundary conditions are missing.","chapters/48-cooperation-social-preferences.qmd after repeated games, before social norms/culture.","Use to verify visible student sequence and page grouping; ingest concepts from the editable PPTX/modern revised deck and primary sources, not from rasterized journal figures.","Page count and extracted text inspected; PDF is not a byte-identical duplicate of the corresponding PPTX."
"05 - Strategic and Social Decisions/13. Social Preferences.pptx","05/Social preferences and norms","pptx","2651195","d902dbd59886b44b2772d6de714550e3bd67f667176bab7157c617e0535f8fd6","21 slides","0","yes — 16/21 slides contain non-empty notes","","legacy editable lecture deck with speaker notes","Evidence that material self-interest alone does not explain allocation and bargaining; ultimatum and dictator games; distributional preferences versus intention-based reciprocity; inequality aversion, ERC, efficiency, maximin/Rawlsian concerns, revealed-preference classification, neural evidence, and primate inequity responses.","Ultimatum and dictator games; modified dictator allocation choices; equity-efficiency trade-off; capuchin/grape-cucumber fairness video.","Deck reports ultimatum offers commonly centered around 40-50%, mean offers around 30-40%, and rejection of offers below 20% around half; bound these claims by design/culture/stakes. Andreoni & Miller: 176 subjects, 1,600+ choices; 47.2% selfish, 30.4% Rawlsian, 22.4% utilitarian classifications.","Fehr & Schmidt (1999); Bolton & Ockenfels (2000); Charness & Rabin (2002); Andreoni & Miller (2002); Oosterbeek, Sloof & van de Kuilen (2004). URLs in file: https://youtu.be/xot4z1CKFMo; youtu.be/xot4z1CKFMo; www.youtube.com","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","Only general fairness/reciprocity language appears in negotiation and culture chapters; planned chapters/48-cooperation-social-preferences.qmd is absent at audit time.","Core models, identification tasks, and cross-cultural boundary conditions are missing.","chapters/48-cooperation-social-preferences.qmd after repeated games, before social norms/culture.","Mine speaker notes, classroom sequence, activities, and unique examples; de-duplicate against root/modern variants and use current revised sources for final claim wording.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/21. Evolutionary Game Theory.pptx","05/Evolutionary game theory","pptx","3524438","96a277dbf121501525d58017627ce74447c6df125eccffc2b5d372cc6037864f","53 slides","0","yes — 53/53 slides contain non-empty notes","","legacy editable lecture deck with speaker notes","Evolution as heredity, mutation, and selection across genetic, cultural, and learning transmission; classical versus evolutionary game theory; payoff-monotonic dynamics and replication; evolutionarily stable strategies (ESS); stag-hunt basins, hawk-dove mixed equilibrium, spatial Prisoner's Dilemma, ethnocentrism, and Schelling segregation.","Beetle arms race; population update cycle; stag hunt; hawk-dove; 50x50 toroidal spatial PD with eight neighbors; Hammond-Axelrod ethnocentrism; Schelling tipping and segregation.","Beetle/PD matrix Small-Small=(3,3), Small-Large=(0,5), Large-Small=(5,0), Large-Large=(1,1); 2x2 symmetric ESS condition a>c or [a=c and b>d]; stag expected payoff 2(1-x) versus hare 1 in the deck parameterization; hawk-dove mixed ESS Dove=1/3, Hawk=2/3; spatial example uses a 50x50 torus/eight neighbors.","Maynard Smith & Price (1973); Hammond & Axelrod (2006); Schelling (1969, 1978/2006); Tajfel (1970); Tajfel et al. (1971); Seabright (2010).","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","No evolutionary-game chapter or appendix; Chapter 37 covers culture/identity without population dynamics.","Entire dynamic/evolutionary layer is missing.","Advanced chapter or appendix in Strategic and Social Decisions, after one-shot and repeated games; keep evolutionary dynamics distinct from repeated-game reciprocity.","Mine speaker notes, classroom sequence, activities, and unique examples; de-duplicate against root/modern variants and use current revised sources for final claim wording.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/22. Evolution of Cooperation.pptx","05/Evolutionary game theory","pptx","4025009","0bab5e212aaf3d97248ace2612375133742fc9a9bf01dffe4458366409ed6195","8 slides","0","yes — 1/8 slides contain non-empty notes","","incomplete eight-slide lecture fragment","Very short/incomplete deck introducing Nowak's five rules for the evolution of cooperation and beginning kin selection.","Five-rule overview and kin-selection framing; sequence stops before a complete lecture.","No complete quantitative treatment; use the cited literature, not the eight-slide fragment, for equations or effect claims.","Nowak (2006), Five rules for the evolution of cooperation.","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","No current destination.","Missing, but source itself is incomplete.","Short synthesis/box in the evolutionary-games chapter, verified against Nowak (2006) and later evidence.","Use only as a pointer to the intended five-rules/kin-selection topic; rebuild from primary literature.","All slide XML, notes, media, links, and hidden-state flags inspected."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.aux","05/Evolutionary game theory/TeX build","aux","11904","3e6e0dec9f23cc46fac8b7bb6b5e3a4d9024ad432e2ad45d8c961783b838d223","179 lines","","","Generated from EvolutionaryGameTheory.tex","LaTeX build auxiliary","Frame labels, cross-references, and citation bookkeeping; no independent teaching content.","","","","No reusable visual content.","No current book destination.","Non-content/build artifact.","None; optional reproducibility archive only.","Retain only in a reproducibility archive; exclude from book ingestion.","Text/binary metadata inspected mechanically; 179 lines/entries where applicable."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.bbl","05/Evolutionary game theory/TeX build","bbl","1777","38dfc974303a300f20b5cdcd96942b0686d8e3acef426c9e4f744625f0fb9b66","45 lines","","","Generated from EvolutionaryGameTheory.tex","generated bibliography","Rendered bibliography with eight entries used by the TeX source.","","","Frank & Gilovich (1988); Hammond & Axelrod (2006); Schelling (1969, 2006); Seabright (2010); Maynard Smith & Price (1973); Tajfel (1970); Tajfel et al. (1971).","No reusable visual content.","No current book destination.","Non-content/build artifact.","None; optional reproducibility archive only.","Use to cross-check citations against the TeX, then exclude from prose ingestion as a generated derivative.","Text/binary metadata inspected mechanically; 45 lines/entries where applicable."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.blg","05/Evolutionary game theory/TeX build","blg","3002","d3a8758d3296033e2699fe398546bcaa3a0cef7bf5a218a2515350634537d42b","93 lines","","","Generated from EvolutionaryGameTheory.tex","BibTeX build log","Bibliography compiler diagnostics; no teaching content.","","","","No reusable visual content.","No current book destination.","Non-content/build artifact.","None; optional reproducibility archive only.","Exclude; retain only for build provenance.","Text/binary metadata inspected mechanically; 93 lines/entries where applicable."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.log","05/Evolutionary game theory/TeX build","log","63561","c772ad5351373a986c58297f67040f49637ddbb4c00c43d55f2786f810fbffac","1651 lines","","","Generated from EvolutionaryGameTheory.tex","LaTeX compilation log","Compilation diagnostics, package/font messages, and page production record; no teaching content.","","","","No reusable visual content.","No current book destination.","Non-content/build artifact.","None; optional reproducibility archive only.","Exclude; retain only for build provenance.","Text/binary metadata inspected mechanically; 1651 lines/entries where applicable."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.nav","05/Evolutionary game theory/TeX build","nav","7255","52067fd573ea64deb2002dab4bca26fe63fdf5061ec46ebbf082880fe656b4c0","133 lines","","","Generated from EvolutionaryGameTheory.tex","Beamer navigation artifact","Generated slide/section navigation metadata; no independent teaching content.","","","","No reusable visual content.","No current book destination.","Non-content/build artifact.","None; optional reproducibility archive only.","Exclude.","Text/binary metadata inspected mechanically; 133 lines/entries where applicable."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.out","05/Evolutionary game theory/TeX build","out","2004","55170976ebf8db59c830be5114ef328e1d9dc34460a2462771bcb779395d86d0","13 lines","","","Generated from EvolutionaryGameTheory.tex","PDF bookmark/navigation artifact","Generated PDF outline/bookmark strings; no independent teaching content.","","","","No reusable visual content.","No current book destination.","Non-content/build artifact.","None; optional reproducibility archive only.","Exclude.","Text/binary metadata inspected mechanically; 13 lines/entries where applicable."
"05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.pdf","05/Evolutionary game theory","pdf","3099306","c52456c2ca659f85073227c5dd5e998820d4b7c0e17efb702b43fe28031798f0","47 pages","","","Compiled derivative of 05 - Strategic and Social Decisions/Evolutionary Game Theory/EvolutionaryGameTheory.tex","compiled Beamer PDF derivative","Evolution as heredity, mutation, and selection across genetic, cultural, and learning transmission; classical versus evolutionary game theory; payoff-monotonic dynamics and replication; evolutionarily stable strategies (ESS); stag-hunt basins, hawk-dove mixed equilibrium, spatial Prisoner's Dilemma, ethnocentrism, and Schelling segregation.","Beetle arms race; population update cycle; stag hunt; hawk-dove; 50x50 toroidal spatial PD with eight neighbors; Hammond-Axelrod ethnocentrism; Schelling tipping and segregation.","Beetle/PD matrix Small-Small=(3,3), Small-Large=(0,5), Large-Small=(5,0), Large-Large=(1,1); 2x2 symmetric ESS condition a>c or [a=c and b>d]; stag expected payoff 2(1-x) versus hare 1 in the deck parameterization; hawk-dove mixed ESS Dove=1/3, Hawk=2/3; spatial example uses a 50x50 torus/eight neighbors.","Maynard Smith & Price (1973); Hammond & Axelrod (2006); Schelling (1969, 1978/2006); Tajfel (1970); Tajfel et al. (1971); Seabright (2010).","Mixed embedded photographs, screenshots, cartoons, web/video stills, and journal figures; rights are not established by the package. Do not copy or cosmetically modify copyrighted figures as a workaround. Redraw conceptual diagrams/tables, regenerate result charts from verified data, use licensed/public-domain photographs, and link to videos rather than embedding them unless permission is clear.","No evolutionary-game chapter or appendix; Chapter 37 covers culture/identity without population dynamics.","Entire dynamic/evolutionary layer is missing.","Advanced chapter or appendix in Strategic and Social Decisions, after one-shot and repeated games; keep evolutionary dynamics distinct from repeated-game reciprocity.","Use to verify the TeX-rendered lecture sequence; ingest equations, structure, and citations from the editable TeX and do not reuse mixed-rights raster assets.","All 47 pages text-extracted; compilation relation verified from the adjacent TeX/build files."
