slide,hidden,topic,destination,handling
25,False,Unexpected crashes and identification,A crash does not settle the bubble diagnosis; Experimental markets,1987 rebound does not rule out a bubble; lab benchmark separated from risk-averse certainty equivalents.
26,False,Section divider,Experimental markets,No separate teaching content.
27,False,Baseline experiment and observed bubble path,A finite-lived asset and a declining benchmark,"15 periods, dividend support/probabilities, expected value, expiration and trading explained."
28,False,Baseline experiment and observed bubble path,A finite-lived asset and a declining benchmark,"15 periods, dividend support/probabilities, expected value, expiration and trading explained."
29,False,Baseline experiment and observed bubble path,A finite-lived asset and a declining benchmark,"15 periods, dividend support/probabilities, expected value, expiration and trading explained."
30,False,304 traders,A finite-lived asset and a declining benchmark,Large classroom result included; professional-market generalization bounded.
31,False,Overlapping generations,"Experience, liquidity, and trading rules change the result","Entry/exit, liquidity and recurring bubbles included."
32,False,Six-period in-class results placeholder,Practice Lab: Classroom-market debrief,No unprovided class outcomes invented; session-specific horizon and benchmark required.
33,False,Flat fundamentals and wealth,Flat fundamentals: the bubble is not just a falling-value task,Finite-horizon redemption equation and both 7-dollar examples; distinguish changed flow payments from a pure cash manipulation. Published Bostian and Holt (2009) used.
34,False,Flat fundamentals and wealth,Flat fundamentals: the bubble is not just a falling-value task,Finite-horizon redemption equation and both 7-dollar examples; distinguish changed flow payments from a pure cash manipulation. Published Bostian and Holt (2009) used.
35,False,Borrowing and experimental moderators,"Experience, liquidity, and trading rules; Lottery payoffs and cognitive reflection; Gender, context, and a distinct hormonal intervention","Covers borrowing, initial underpricing, cash, experience, delayed dividends, shorting, no resale, alternative activity, CRT and testosterone. Published Coppock et al. (2021) used."
36,False,Borrowing and experimental moderators,"Experience, liquidity, and trading rules; Lottery payoffs and cognitive reflection; Gender, context, and a distinct hormonal intervention","Covers borrowing, initial underpricing, cash, experience, delayed dividends, shorting, no resale, alternative activity, CRT and testosterone. Published Coppock et al. (2021) used."
37,False,Price forecasts,Expectations and the strategies behind the price path,Forecasts lag boom and bust; turning points not generally anticipated.
38,False,Gender and context,"Gender, context, and a distinct hormonal intervention","Lehman Sisters hypothesis, initial result, hidden sorting, flat/declining values and U.S./China comparison included; no universal sex effect claimed."
39,False,Gender and context,"Gender, context, and a distinct hormonal intervention","Lehman Sisters hypothesis, initial result, hidden sorting, flat/declining values and U.S./China comparison included; no universal sex effect claimed."
40,False,Gender and context,"Gender, context, and a distinct hormonal intervention","Lehman Sisters hypothesis, initial result, hidden sorting, flat/declining values and U.S./China comparison included; no universal sex effect claimed."
41,False,Trading strategies and proportions,Expectations and the strategies behind the price path,"Value, feedback and resale strategies retained; original study classification shares and caveats preserved."
42,False,Trading strategies and proportions,Expectations and the strategies behind the price path,"Value, feedback and resale strategies retained; original study classification shares and caveats preserved."
43,False,Synthesis and references,Chapter synthesis and references,"Substantive concepts incorporated; cited sources listed, unused slide references not copied wholesale."
44,False,Synthesis and references,Chapter synthesis and references,"Substantive concepts incorporated; cited sources listed, unused slide references not copied wholesale."
45,False,Synthesis and references,Chapter synthesis and references,"Substantive concepts incorporated; cited sources listed, unused slide references not copied wholesale."
46,False,Blank slide,Not applicable,No substantive content.
47,False,Trading UI and execution rule,A finite-lived asset and a declining benchmark,Portable bid/ask/execution mechanics included; software screenshot labels not reproduced.
48,False,Trading UI and execution rule,A finite-lived asset and a declining benchmark,Portable bid/ask/execution mechanics included; software screenshot labels not reproduced.
49,True,Hidden divider and forecast aphorisms,Two-direction dashboard; falsifiable investment memo,Uncertainty integrated; quote collection not reproduced.
50,True,Hidden divider and forecast aphorisms,Two-direction dashboard; falsifiable investment memo,Uncertainty integrated; quote collection not reproduced.
51,True,Hidden two-asset lottery experiment,Lottery payoffs and cognitive reflection,Both distributions and equal expected payouts retained; probability-weighting mechanism qualified.
52,True,Hidden two-asset lottery experiment,Lottery payoffs and cognitive reflection,Both distributions and equal expected payouts retained; probability-weighting mechanism qualified.
53,True,Hidden 12/20-cent dividend example,A finite-lived asset and a declining benchmark,16-cent expected dividend and 2.40-dollar start included without mixing parameterizations.
54,True,Hidden activity and excess cash,"Experience, liquidity, and trading rules change the result",Alternative activity and cash interventions covered.
55,True,Hidden 1928-29 gains and P/E chart,The 1920s and later credit booms; What gives an asset fundamental value?,Selected winners and aggregate valuation interpreted; no unsupported digitization or extra graphs.
56,True,Hidden 1928-29 gains and P/E chart,The 1920s and later credit booms; What gives an asset fundamental value?,Selected winners and aggregate valuation interpreted; no unsupported digitization or extra graphs.
57,True,Hidden liquidity ratio,"Experience, liquidity, and trading rules change the result","Definition, causal channel, and absence of universal cutoff included."
58,True,Hidden Palm-3Com,"The Palm–3Com case: visible inconsistency, costly correction","Existing relative-value equation, negative residual, borrowing constraints and conditional distribution retained."
59,True,Hidden Palm-3Com,"The Palm–3Com case: visible inconsistency, costly correction","Existing relative-value equation, negative residual, borrowing constraints and conditional distribution retained."
60,True,Hidden Palm-3Com,"The Palm–3Com case: visible inconsistency, costly correction","Existing relative-value equation, negative residual, borrowing constraints and conditional distribution retained."
61,True,Hidden Palm-3Com,"The Palm–3Com case: visible inconsistency, costly correction","Existing relative-value equation, negative residual, borrowing constraints and conditional distribution retained."
62,True,Hidden historical P/E and internet bubble,What gives an asset fundamental value?; Dot-com innovation and extreme expectations,Historical valuation peaks and distinct index evidence included.
63,True,Hidden historical P/E and internet bubble,What gives an asset fundamental value?; Dot-com innovation and extreme expectations,Historical valuation peaks and distinct index evidence included.
