Concept,Initial home,Reviewed home,Status,Editorial note,Reviewed book file,Initial matched section,First lexical source,Slide/page
Selective attention,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Attention architecture: the organization chooses what can be seen,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,29
Inattentional blindness,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Learning goals,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,12
Change blindness,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Change blindness,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,3
Top-down attention,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Top-down goals and bottom-up capture,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,8
Bottom-up attention,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Top-down goals and bottom-up capture,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,8
Divided attention,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Watch and test: directed attention in a story,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,21
Working memory,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Attention under divided demand,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,9
Task switching,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Attention under divided demand,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,9
Attention economy,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,When the environment is designed to keep you looking {#designed-attention},,
Default mode network,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Research Lens: attention depends on cooperating networks,DPN-Aalborg/DPN01. Decision Process.pptx,69
Central executive network,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Research Lens: attention depends on cooperating networks,DPN-Aalborg/DPN03. Heuristics & Biases.pptx,8
Salience network,03,03,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/03-attention-what-becomes-evidence.qmd,Research Lens: attention depends on cooperating networks,BE-Aalborg/01 - Foundations and Neuroscience/02. Anatomy of Decision-Making.pptx,38
Perception as inference,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,"Prediction, error, and precision",BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,3
Predictive processing,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,"Prediction, error, and precision",BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,3
Prediction error,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,A hollow face that seems to look back {#hollow-face-illusion},BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,47
Precision weighting,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,Research Lens: from predictive processing to active inference {#research-lens-from-predictive-processing-to-active-inference-title},BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,2
Prior expectations,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,Learning goals,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,10
Active inference,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,"Prediction, error, and precision",BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,9
Ambiguous perception,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,Research Lens: an analogy with generative AI,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,49
Generative AI,04,04,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/04-the-predictive-mind-perception-is-inference.qmd,Calibration test,DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,85
Forecast construction,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Build the forecast before telling its story,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,9
Self-fulfilling prophecy,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Diagnose the direction of the loop,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,24
Self-defeating prediction,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Diagnose the direction of the loop,DPN-Aalborg/DPN02. Attention_Prediction_Expectation.pptx,89
Placebo,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Expectation in the body,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,27
Nocebo,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Expectation in the body,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,26
Pygmalion effect,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Research note: learning that an action can help,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,32
Growth mindset,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Ability beliefs and performance,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,27
Learned helplessness,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Research note: learning that an action can help,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,27
Stereotype threat,05,05,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/05-expectations-when-predictions-become-causes.qmd,Research Lens: identity changes what difficulty means,BE-Aalborg/08 - Research Methods/17. Conduct Research in Behavioral Economics.pptx,63
Valuation,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,"Automatic evaluation is a first pass, not the decision",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,25
Automatic evaluation,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,"Automatic evaluation is a first pass, not the decision",DPN-Aalborg/DPN01. Decision Process.pptx,80
Common currency,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,"Research Lens: value is distributed, not a single center",BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Somatic marker,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Emotion tells the mind what matters,BE-Aalborg/BE02. Decision Making Process.pdf,39
Iowa Gambling Task,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Emotion tells the mind what matters,BE-Aalborg/BE02. Decision Making Process.pdf,39
Interoception,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Emotion tells the mind what matters,BE-Aalborg/01 - Foundations and Neuroscience/02. Anatomy of Decision-Making.pptx,85
Allostasis,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Research Lens: interoception and the body's changing needs,BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Hot-cold empathy gap,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Research note: are needs a hierarchy? {#research-note-are-needs-a-hierarchy-title},"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",76
Visceral influences,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Research Lens: interoception and the body's changing needs,BE-Aalborg/Readings/Instructor Notes/Replication Crisis References.docx,
Self-related value,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,"Research Lens: value is distributed, not a single center",BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Social value,06,06,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/06-valuation-how-options-become-worth-choosing.qmd,Practice Lab,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,17
Limits of introspection,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Reasons are not the same as causes,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,35
Choice blindness,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,35
Confabulation,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Choice blindness and the confidence of explanation,"BE-Aalborg/02 - Attention, Heuristics and Biases/03. Two systems of thinking.pptx",32
Cognitive dissonance,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The interpreter and confabulation,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/__From Perception to Choice_ Understanding the Dimensions of Decision Making__.docx",
Self-perception,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,When behavior becomes evidence about the self,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,51
Post-choice rationalization,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The rationalization detector,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Hindsight bias,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The rationalization detector,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Outcome bias,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The rationalization detector,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Organizational sensemaking,07,07,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Organizations have narrators too,DPN-Aalborg/additional topics/2026/DPN Comprehensive Synthesis Deck.pptx,3
Dual-process theories,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,22
Intuition,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Practice Lab,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,32
Deliberation,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Core Idea,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,24
System 1,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,3
System 2,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,3
Attribute substitution,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,From a quick answer to a heuristic,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",10
Recognition heuristic,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,"Research Lens: an adaptive toolbox, not one shortcut",,
Take-the-best,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,"Research Lens: an adaptive toolbox, not one shortcut",,
Satisficing,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,DPN-Aalborg/DPN01. Decision Process.pptx,28
Ecological rationality,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,From a quick answer to a heuristic,DPN-Aalborg/additional topics/2026/DPN Comprehensive Synthesis Deck.pptx,8
Recognition-primed decision making,08,08,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,,
Availability heuristic,09,09,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,"One risk, three shortcuts",BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Affect heuristic,09,09,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When value substitutes for evidence: affect answers first,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,7
Representativeness,09,09,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When category fit substitutes for probability: resemblance,DPN-Aalborg/DPN03. Heuristics & Biases.pptx,3
Dilution effect,09,09,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When irrelevant detail dilutes useful evidence {#dilution-effect},"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",14
Integral affect,09,06,placement or scope resolved,The valuation chapter distinguishes integral emotion from incidental spillover; Chapter 9 applies affect to probability judgments.,chapters/06-valuation-how-options-become-worth-choosing.qmd,Opening / chapter overview,DPN-Aalborg/DPN01. Decision Process.pptx,79
Incidental affect,09,09,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When value substitutes for evidence: affect answers first,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,37
Misattribution of arousal,09,06,placement or scope resolved,The valuation chapter develops the Dutton-Aron study and the limits of the arousal inference.,chapters/06-valuation-how-options-become-worth-choosing.qmd,Opening / chapter overview,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,49
Affect and risk perception,09,09,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When correlated cues look like independent evidence,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Confirmation bias,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Myside bias,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,,
Biased assimilation,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,BE-Aalborg/BE05. Heuristics and Biases.pdf,41
Motivated reasoning,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,BE-Aalborg/BE02. Decision Making Process.pdf,41
Self-serving attribution,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,"Protect the test, not the belief",BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,34
Fundamental attribution error,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,"Attribution: behavior is visible, situations are not",DPN-Aalborg/03. Social Influence.pdf,2
Bias blind spot,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,When both sides feel objective,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",44
Barnum effect,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,16
Positive illusions,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Optional research note: can a flattering belief help?,,
Unrealistic optimism,10,10,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/10-beliefs-that-defend-themselves.qmd,Optional research note: can a flattering belief help?,BE-Aalborg/01 - Foundations and Neuroscience/The Predictive Brain in Behavioral Economics.docx,
Anchoring,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Insufficient adjustment,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,24
Selective accessibility,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,BE-Aalborg/DPN2026/DPN03. Heuristics & Biases.pdf,76
Halo effect,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Halo and horn effects,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,32
Horn effect,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,29
Decoy effect,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The decoy changes the comparison,DPN-Aalborg/DPN01. Decision Process.pptx,27
Attraction effect,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The decoy changes the comparison,,
Contrast effect,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,44
Compromise effect,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,The decoy changes the comparison,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,6
Joint evaluation,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",13
Separate evaluation,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",13
Evaluability,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},BE-Aalborg/09 - Additional Topics/Existing Additional Topics/Behavioral Decision Theory additional.pptx,66
Preference reversal,11,11,body passage located,"Located in the chapter body; the lexical hit is a navigation aid, not an independent adequacy or source-validity score.",chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",61
