Concept,Home,Book file,Section,Body match,Lecture source,Slide/page
Value of information,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Gather information only when it can change action,True,BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Sensitivity analysis,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Stress-test the recommendation,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,29
Robustness,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Learning goals,True,BE-Aalborg/BE2026/BE07&08. Behavioral Game Theory.pptx,34
Bounded rationality,02,chapters/02-building-a-better-decision-alternatives-opportunity-cost-information-and-robustness.qmd,Use proportionate analysis,True,BE-Aalborg/BE2026/BE07. Strategic Interdependence.pptx,55
Selective attention,03,chapters/03-attention-what-becomes-evidence.qmd,Attention architecture: the organization chooses what can be seen,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,29
Inattentional blindness,03,chapters/03-attention-what-becomes-evidence.qmd,Learning goals,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,12
Change blindness,03,chapters/03-attention-what-becomes-evidence.qmd,Change blindness,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,3
Top-down attention,03,chapters/03-attention-what-becomes-evidence.qmd,Top-down goals and bottom-up capture,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,8
Bottom-up attention,03,chapters/03-attention-what-becomes-evidence.qmd,Top-down goals and bottom-up capture,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,8
Divided attention,03,chapters/03-attention-what-becomes-evidence.qmd,Watch and test: directed attention in a story,True,BE-Aalborg/BE2026/BE09. Behavioral Finance.pptx,21
Working memory,03,chapters/03-attention-what-becomes-evidence.qmd,Attention under divided demand,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,9
Task switching,03,chapters/03-attention-what-becomes-evidence.qmd,Attention under divided demand,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,9
Attention economy,03,chapters/03-attention-what-becomes-evidence.qmd,When the environment is designed to keep you looking {#designed-attention},True,,
Default mode network,03,chapters/03-attention-what-becomes-evidence.qmd,Research Lens: attention depends on cooperating networks,True,DPN-Aalborg/DPN01. Decision Process.pptx,69
Central executive network,03,chapters/03-attention-what-becomes-evidence.qmd,Research Lens: attention depends on cooperating networks,True,DPN-Aalborg/DPN03. Heuristics & Biases.pptx,8
Salience network,03,chapters/03-attention-what-becomes-evidence.qmd,Research Lens: attention depends on cooperating networks,True,BE-Aalborg/01 - Foundations and Neuroscience/02. Anatomy of Decision-Making.pptx,38
Perception as inference,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,"Prediction, error, and precision",True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,3
Predictive processing,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,"Prediction, error, and precision",True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,3
Prediction error,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,A hollow face that seems to look back {#hollow-face-illusion},True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,47
Precision weighting,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,Research Lens: from predictive processing to active inference {#research-lens-from-predictive-processing-to-active-inference-title},True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,2
Prior expectations,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,Learning goals,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,10
Active inference,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,"Prediction, error, and precision",True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,9
Ambiguous perception,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,Research Lens: an analogy with generative AI,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,49
Generative AI,04,chapters/04-the-predictive-mind-perception-is-inference.qmd,Calibration test,True,DPN-Aalborg/00. ARTS_model_of_influence_predictive_processing_4h_lecture_deck  -  Repaired.pptx,85
Forecast construction,05,chapters/05-expectations-when-predictions-become-causes.qmd,Build the forecast before telling its story,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,9
Self-fulfilling prophecy,05,chapters/05-expectations-when-predictions-become-causes.qmd,Diagnose the direction of the loop,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,24
Self-defeating prediction,05,chapters/05-expectations-when-predictions-become-causes.qmd,Diagnose the direction of the loop,True,DPN-Aalborg/DPN02. Attention_Prediction_Expectation.pptx,89
Placebo,05,chapters/05-expectations-when-predictions-become-causes.qmd,Expectation in the body,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,27
Nocebo,05,chapters/05-expectations-when-predictions-become-causes.qmd,Expectation in the body,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,26
Pygmalion effect,05,chapters/05-expectations-when-predictions-become-causes.qmd,Research note: learning that an action can help,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,32
Growth mindset,05,chapters/05-expectations-when-predictions-become-causes.qmd,Ability beliefs and performance,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,27
Learned helplessness,05,chapters/05-expectations-when-predictions-become-causes.qmd,Research note: learning that an action can help,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,27
Stereotype threat,05,chapters/05-expectations-when-predictions-become-causes.qmd,Research Lens: identity changes what difficulty means,True,BE-Aalborg/08 - Research Methods/17. Conduct Research in Behavioral Economics.pptx,63
Valuation,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,"Automatic evaluation is a first pass, not the decision",True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,25
Automatic evaluation,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,"Automatic evaluation is a first pass, not the decision",True,DPN-Aalborg/DPN01. Decision Process.pptx,80
Common currency,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,"Research Lens: value is distributed, not a single center",True,BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Somatic marker,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Emotion tells the mind what matters,True,BE-Aalborg/BE02. Decision Making Process.pdf,39
Iowa Gambling Task,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Emotion tells the mind what matters,True,BE-Aalborg/BE02. Decision Making Process.pdf,39
Interoception,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Emotion tells the mind what matters,True,BE-Aalborg/01 - Foundations and Neuroscience/02. Anatomy of Decision-Making.pptx,85
Allostasis,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Research Lens: interoception and the body's changing needs,True,BE-Aalborg/01 - Foundations and Neuroscience/Anatomy of Decision 1.docx,
Hot-cold empathy gap,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Research note: are needs a hierarchy? {#research-note-are-needs-a-hierarchy-title},True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",76
Visceral influences,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Research Lens: interoception and the body's changing needs,True,BE-Aalborg/Readings/Instructor Notes/Replication Crisis References.docx,
Self-related value,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,"Research Lens: value is distributed, not a single center",True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,9
Social value,06,chapters/06-valuation-how-options-become-worth-choosing.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,17
Limits of introspection,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Reasons are not the same as causes,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,35
Choice blindness,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Opening / chapter overview,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,35
Confabulation,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Choice blindness and the confidence of explanation,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/03. Two systems of thinking.pptx",32
Cognitive dissonance,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The interpreter and confabulation,True,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/__From Perception to Choice_ Understanding the Dimensions of Decision Making__.docx",
Self-perception,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,When behavior becomes evidence about the self,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,51
Post-choice rationalization,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The rationalization detector,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Hindsight bias,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The rationalization detector,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Outcome bias,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,The rationalization detector,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Organizational sensemaking,07,chapters/07-the-narrator-after-choice-why-reasons-are-not-always-causes.qmd,Organizations have narrators too,True,DPN-Aalborg/additional topics/2026/DPN Comprehensive Synthesis Deck.pptx,3
Dual-process theories,08,chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,22
Intuition,08,chapters/08-fast-and-frugal-thinking.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,32
Deliberation,08,chapters/08-fast-and-frugal-thinking.qmd,Core Idea,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,24
System 1,08,chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,3
System 2,08,chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,3
Attribute substitution,08,chapters/08-fast-and-frugal-thinking.qmd,From a quick answer to a heuristic,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",10
Recognition heuristic,08,chapters/08-fast-and-frugal-thinking.qmd,"Research Lens: an adaptive toolbox, not one shortcut",True,,
Take-the-best,08,chapters/08-fast-and-frugal-thinking.qmd,"Research Lens: an adaptive toolbox, not one shortcut",True,,
Satisficing,08,chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,True,DPN-Aalborg/DPN01. Decision Process.pptx,28
Ecological rationality,08,chapters/08-fast-and-frugal-thinking.qmd,From a quick answer to a heuristic,True,DPN-Aalborg/additional topics/2026/DPN Comprehensive Synthesis Deck.pptx,8
Recognition-primed decision making,08,chapters/08-fast-and-frugal-thinking.qmd,Fast thinking is not primitive thinking,True,,
Availability heuristic,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,"One risk, three shortcuts",True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Affect heuristic,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When value substitutes for evidence: affect answers first,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,7
Representativeness,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When category fit substitutes for probability: resemblance,True,DPN-Aalborg/DPN03. Heuristics & Biases.pptx,3
Dilution effect,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When irrelevant detail dilutes useful evidence {#dilution-effect},True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",14
Integral affect,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,Opening / chapter overview,False,DPN-Aalborg/DPN01. Decision Process.pptx,79
Incidental affect,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When value substitutes for evidence: affect answers first,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,37
Misattribution of arousal,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,Opening / chapter overview,False,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,49
Affect and risk perception,09,chapters/09-what-feels-likely-availability-affect-and-resemblance.qmd,When correlated cues look like independent evidence,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,2
Confirmation bias,10,chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Myside bias,10,chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,True,,
Biased assimilation,10,chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,True,BE-Aalborg/BE05. Heuristics and Biases.pdf,41
Motivated reasoning,10,chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,True,BE-Aalborg/BE02. Decision Making Process.pdf,41
Self-serving attribution,10,chapters/10-beliefs-that-defend-themselves.qmd,"Protect the test, not the belief",True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,34
Fundamental attribution error,10,chapters/10-beliefs-that-defend-themselves.qmd,"Attribution: behavior is visible, situations are not",True,DPN-Aalborg/03. Social Influence.pdf,2
Bias blind spot,10,chapters/10-beliefs-that-defend-themselves.qmd,When both sides feel objective,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",44
Barnum effect,10,chapters/10-beliefs-that-defend-themselves.qmd,Confirmation and myside bias,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,16
Positive illusions,10,chapters/10-beliefs-that-defend-themselves.qmd,Optional research note: can a flattering belief help?,True,,
Unrealistic optimism,10,chapters/10-beliefs-that-defend-themselves.qmd,Optional research note: can a flattering belief help?,True,BE-Aalborg/01 - Foundations and Neuroscience/The Predictive Brain in Behavioral Economics.docx,
Anchoring,11,chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Insufficient adjustment,11,chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,24
Selective accessibility,11,chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,True,BE-Aalborg/DPN2026/DPN03. Heuristics & Biases.pdf,76
Halo effect,11,chapters/11-when-context-rewrites-comparison.qmd,Halo and horn effects,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,32
Horn effect,11,chapters/11-when-context-rewrites-comparison.qmd,The first number enters first,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,29
Decoy effect,11,chapters/11-when-context-rewrites-comparison.qmd,The decoy changes the comparison,True,DPN-Aalborg/DPN01. Decision Process.pptx,27
Attraction effect,11,chapters/11-when-context-rewrites-comparison.qmd,The decoy changes the comparison,True,,
Contrast effect,11,chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,44
Compromise effect,11,chapters/11-when-context-rewrites-comparison.qmd,The decoy changes the comparison,True,DPN-Aalborg/DPN06. Integrative Negotiation.pptx,6
Joint evaluation,11,chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",13
Separate evaluation,11,chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",13
Evaluability,11,chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},True,BE-Aalborg/09 - Additional Topics/Existing Additional Topics/Behavioral Decision Theory additional.pptx,66
Preference reversal,11,chapters/11-when-context-rewrites-comparison.qmd,Together or separately: what becomes easy to evaluate? {#evaluation-modes},True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",61
Prominence hypothesis,11,chapters/11-when-context-rewrites-comparison.qmd,Preference reversal: choosing is not the same task as pricing {#preference-reversal-and-prominence},True,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",115
Framing,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,33
Risky-choice framing,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",True,,
Attribute framing,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",True,,
Goal framing,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",True,,
Gain versus loss frame,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,"Equivalent facts, different meanings",True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,28
Misinformation effect,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,Framing memory and causality,True,BE-Aalborg/08 - Research Methods/18. Formulate Research Questions.pptx,52
False memory,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,Framing memory and causality,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,2
Communicative framing,12,chapters/12-framing-when-the-same-facts-become-different-decisions.qmd,Opening / chapter overview,False,DPN-Aalborg/07. Communication and Connection.pptx,5
Priming,13,chapters/13-accessibility-familiarity-and-ease.qmd,Accessible concepts interpret ambiguity,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Semantic priming,13,chapters/13-accessibility-familiarity-and-ease.qmd,Accessibility: memory prepares an answer,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,39
Conceptual priming,13,chapters/13-accessibility-familiarity-and-ease.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,14
Affective priming,13,chapters/13-accessibility-familiarity-and-ease.qmd,Accessible concepts interpret ambiguity,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,39
Context-dependent memory,13,chapters/13-accessibility-familiarity-and-ease.qmd,Accessibility: memory prepares an answer,True,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,54
Encoding specificity,13,chapters/13-accessibility-familiarity-and-ease.qmd,Context-dependent memory: the setting can supply a cue {#context-dependent-memory},True,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,54
Processing fluency,13,chapters/13-accessibility-familiarity-and-ease.qmd,Familiarity and cognitive ease,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,89
Cognitive ease,13,chapters/13-accessibility-familiarity-and-ease.qmd,Familiarity and cognitive ease,True,BE-Aalborg/BE2026/BE04. Two Systems of Thinking.pptx,32
Mere-exposure effect,13,chapters/13-accessibility-familiarity-and-ease.qmd,Repetition can become liking and truth,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Illusory-truth effect,13,chapters/13-accessibility-familiarity-and-ease.qmd,Repetition can become liking and truth,True,DPN-Aalborg/DPN04. Influence & Persuasion.pptx,98
Source monitoring,13,chapters/13-accessibility-familiarity-and-ease.qmd,Repetition can become liking and truth,True,,
Subliminal cues,13,chapters/13-accessibility-familiarity-and-ease.qmd,Research note: processing masked cues {#evidence-boundary-concealed-cues-are-not-mind-control-title},True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,19
Base rates,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Reference classes are judgment calls,True,BE-Aalborg/BE2026/BE02. Decision-Making Process.pptx,37
Conditional probability,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Practice Lab,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",54
Bayesian updating,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Practice Lab,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",22
Natural frequencies,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Natural frequencies make Bayes visible,True,DPN-Aalborg/Decision_Making_Enriched_Book.docx,
Likelihood ratio,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Opening / chapter overview,False,,
Reference class,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Natural frequencies make Bayes visible,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,14
Conjunction rule,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Learning goals,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",55
Disjunction rule,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Reference classes are judgment calls,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/04. Heuristics.pptx",55
Independence,14,chapters/14-base-rates-conditional-probability-and-bayesian-updating.qmd,Conditional direction matters,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,31
Law of small numbers,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Small samples swing widely,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",20
Gambler's fallacy,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Streaks require a process model,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,52
Hot-hand effect,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Streaks require a process model,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",20
Random clusters,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Clusters and the search for causes,True,"BE-Aalborg/Readings/01 - AI, Prediction and Complexity/Impact_ML_on_Econ_Summary.pptx",3
Regression to the mean,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Test the width of your uncertainty,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/08. Probability Judgment.pptx",24
Overconfidence,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Illusion of control: did the action change the odds? {#illusion-of-control},True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,2
Overestimation,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Overplacement,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Overprecision,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Dunning-Kruger,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Test the width of your uncertainty,True,"BE-Aalborg/06 - Time, Money and Finance/16. Intertemporal Decision-Making.pptx",63
Planning fallacy,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,20
Inside view,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,23
Outside view,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Practice Lab,True,BE-Aalborg/BE2026/BE05. Heuristics & Biases.pptx,23
Calibration,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Planning fallacy: the plan needs an outside view {#planning-fallacy-and-outside-view},True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,32
Resolution,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Calibration makes confidence answerable,True,BE-Aalborg/BE2026/BE03. Prediction and Expectation.pptx,39
Brier score,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Calibration makes confidence answerable,True,DPN-Aalborg/additional topics/_Needs Classification/Strategic and Data-Driven Decision Making Synthesis Deck.pptx,85
Illusion of control,15,chapters/15-samples-randomness-regression-and-calibration.qmd,Regression to the mean,True,"BE-Aalborg/02 - Attention, Heuristics and Biases/05. Biases.pptx",31
Expected value,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Curvature and attitudes toward a mean-preserving risk,True,BE-Aalborg/BE2026/BE12. Mental Acounting.pptx,26
Expected utility,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Curvature and attitudes toward a mean-preserving risk,True,BE-Aalborg/BE2026/BE01. Intro to Behavioral Economics.pptx,16
Certainty equivalent,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Research Lens: every elicitation task measures a bundle,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",12
Risk aversion,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Curvature and attitudes toward a mean-preserving risk,True,BE-Aalborg/BE2026/BE10. Asset Bubbles.pptx,36
Ambiguity aversion,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,The Ellsberg urn: risk is not ambiguity,True,BE-Aalborg/01 - Foundations and Neuroscience/Neuroeconomics.pptx,83
Allais paradox,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,Expected utility: value over final consequences,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",33
Ellsberg paradox,16,chapters/16-risky-decision-making-a-probability-is-not-yet-a-feeling.qmd,The Ellsberg urn: risk is not ambiguity,True,"BE-Aalborg/04 - Risk, Probability and Prospect Theory/09. Risky Decision-Making.pptx",38
